ArticleID,Pub_Type,Authors,Year ,Title,Pub_name,Volume,Issue,Pages,source
23197,Journal Article,Baláž_etal,2014,Assessing Risk and Guidance on Monitoring of Batrachochytrium dendrobatidis in Europe through Identification of Taxonomic Selectivity of Infection,Conservation Biology,28,1,213-223,PubDatabase
23200,Journal Article,Balotari-Chiebao_etal,2018,Assessing space use by pre-breeding white-tailed eagles in the context of wind-energy development in Finland,Landscape and Urban Planning,177,,251-258,PubDatabase
23202,Journal Article,Balzotti_etal,2016,Beyond the single species climate envelope: A multifaceted approach to mapping climate change vulnerability,Ecosphere,7,9,,PubDatabase
23207,Journal Article,Bangs_etal,2018,Introgressive hybridization and species turnover in reservoirs: a case study involving endemic and invasive basses (Centrarchidae: Micropterus) in southeastern North America,Conservation Genetics,19,1,57-69,PubDatabase
23211,Journal Article,Barbarossa_etal,2020,Impacts of current and future large dams on the geographic range connectivity of freshwater fish worldwide,Proceedings of the National Academy of Sciences of the United States of America,117,7,3648-3655,PubDatabase
23222,Journal Article,Baret_etal,2006,"Current distribution and potential extent of the most invasive alien plant species on La Réunion (Indian Ocean, Mascarene islands)",Austral Ecology,31,6,747-758,PubDatabase
23223,Journal Article,Barilani_etal,2007,Hybridisation with Introduced Chukars (Alectoris chukar) Threatens the Gene Pool Integrity of Native Rock (A. graeca) and Red-Legged (A. rufa) Partridge Populations,Biological Conservation,137,1,57,PubDatabase
23232,Journal Article,Barthelmess,2014,Spatial distribution of road-kills and factors influencing road mortality for mammals in Northern New York State,Biodiversity and Conservation,23,10,2491-2514,PubDatabase
23234,Journal Article,Bartolino_etal,2012,Scale-dependent detection of the effects of harvesting a marine fish population,Marine Ecology Progress Series,444,,251-261,PubDatabase
23236,Journal Article,Bartz_etal,2015,"Trends in developed land cover adjacent to habitat for threatened salmon in Puget Sound, Washington, U.S.A",PLoS ONE,10,4,,PubDatabase
23237,Journal Article,Barve_etal,2005,Measuring and mapping threats to a wildlife sanctuary in southern India,Conservation Biology,19,1,122-130,PubDatabase
23242,Journal Article,Bass_etal,2010,Global conservation significance of Ecuador's Yasuní National Park,PLoS ONE,5,1,,PubDatabase
23247,Conference Proceeding,Battiston_etal,2012,"Pleiades HR, a tool for biodiversity conservation: Case of common hamster on the Alsace Plain",,,,7114-7116,PubDatabase
23249,Journal Article,Bax_etal,2019,Land-use conflicts between biodiversity conservation and extractive industries in the Peruvian Andes,Journal of Environmental Management,232,,1028-1036,PubDatabase
23252,Journal Article,Baynard_etal,2017,Energy Development in Colorado’s Pawnee National Grasslands: Mapping and Measuring the Disturbance Footprint of Renewables and Non-Renewables,Environmental Management,59,6,995-1016,PubDatabase
23256,Journal Article,Beaudry_etal,2008,Identifying road mortality threat at multiple spatial scales for semi-aquatic turtles,Biological Conservation,141,10,2550-2563,PubDatabase
23258,Journal Article,Bebbington_etal,2018,Resource extraction and infrastructure threaten forest cover and community rights,Proceedings of the National Academy of Sciences of the United States of America,115,52,13164-13173,PubDatabase
23261,Journal Article,Becker and Zamudio,2011,Tropical amphibian populations experience higher disease risk in natural habitats,Proceedings of the National Academy of Sciences of the United States of America,108,24,9893-9898,PubDatabase
23262,Journal Article,Bedrosian_etal,2020,"A Spatially Explicit Model to Predict the Relative Risk of Golden Eagle Electrocutions in the Northwestern Plains, USA",Journal of Raptor Research,54,2,110-125,PubDatabase
23266,Journal Article,Bejaoui_etal,2020,Metal body burden and tissue oxidative status in the bivalve Venerupis decussata from Tunisian coastal lagoons,Marine Environmental Research,159,,,PubDatabase
23276,Journal Article,Bellard_etal,2016,Global patterns in threats to vertebrates by biological invasions,Proceedings of the Royal Society B: Biological Sciences,283,1823,,PubDatabase
23278,Journal Article,Belpaire_etal,2015,Toxic textile dyes accumulate in wild European eel Anguilla anguilla,Chemosphere,138,,784-791,PubDatabase
23280,Journal Article,Ben Rais_etal,2016,Cumulative human threats on fish biodiversity components in Tunisian waters,Mediterranean Marine Science,17,1,190-201,PubDatabase
23282,Journal Article,Bendell and Wan,2011,Application of aerial photography in combination with GIS for coastal management at small spatial scales: A case study of shellfish aquaculture,Journal of Coastal Conservation,15,4,417-431,PubDatabase
23285,Journal Article,Bennett_etal,2010,Propagule pressure and stream characteristics influence introgression: Cutthroat and rainbow trout in British Columbia,Ecological Applications,20,1,263-277,PubDatabase
23290,Journal Article,Benslimane_etal,2019,Anthropogenic stressors are driving a steep decline of hemipteran diversity in dune ponds in north-eastern Algeria,Journal of Insect Conservation,23,3,475-488,PubDatabase
23293,Journal Article,Berthon_etal,2018,Assessment and prioritisation of plant species at risk from myrtle rust (Austropuccinia psidii) under current and future climates in Australia,Biological Conservation,218,,154-162,PubDatabase
23301,Journal Article,Bezeng_etal,2020,Expected spatial patterns of alien woody plants in South Africa’s protected areas under current scenario of climate change,Scientific Reports,10,1,,PubDatabase
23303,Journal Article,Bhatt_etal,2016,Assessing Potential Conservation and Restoration Areas of Freshwater Fish Fauna in the Indian River Basins,Environmental Management,57,5,1098-1111,PubDatabase
23304,Journal Article,Bhola_etal,2012,The distribution of large herbivore hotspots in relation to environmental and anthropogenic correlates in the Mara region of Kenya,Journal of Animal Ecology,81,6,1268-1287,PubDatabase
23306,Journal Article,Bi_etal,2020,Long-term climate ocean oscillations inform seabird bycatch from pelagic longline fishery,ICES Journal of Marine Science,77,2,668-679,PubDatabase
23313,Dissertation,Binothman,2016,Current Status of Falcon Populations in Saudi Arabia,,,,,PubDatabase
23315,Journal Article,Birkmanis_etal,2020,Shark conservation hindered by lack of habitat protection,Global Ecology and Conservation,21,,,PubDatabase
23318,Journal Article,Bisi_etal,2019,Distribution of Wildlife and Illegal Human Activities in the Lampi Marine National Park (Myanmar),Environmental Conservation,46,2,163-170,PubDatabase
23330,Journal Article,Böhm_etal,2013,The conservation status of the world's reptiles,Biological Conservation,157,,372-385,PubDatabase
23331,Journal Article,Böhm_etal,2016,Hot and bothered: Using trait-based approaches to assess climate change vulnerability in reptiles,Biological Conservation,204,,32-41,PubDatabase
23337,Journal Article,Bonesi_etal,2007,Trapping for mink control and water vole survival: Identifying key criteria using a spatially explicit individual based model,Biological Conservation,136,4,636-650,PubDatabase
23340,Journal Article,Borah_etal,2016,"Carnivores in corridors: estimating tiger occupancy in Kanha–Pench corridor, Madhya Pradesh, India",Regional Environmental Change,16,,43-52,PubDatabase
23343,Journal Article,Borrelli_etal,2015,The implications of fire management in the andean paramo: A preliminary assessment using satellite remote sensing,Remote Sensing,7,9,11061-11082,PubDatabase
23345,Journal Article,Bose_etal,2020,"Predicting strike susceptibility and collision patterns of the common buzzard at wind turbine structures in the federal state of Brandenburg, Germany",PLoS ONE,15,1,,PubDatabase
23350,Journal Article,Bouchard_etal,2015,Undeclared baggage: Do tourists act as vectors for seed dispersal in fynbos protected areas?,Koedoe,57,1,9,PubDatabase
23353,Journal Article,Boulanger_etal,2014,The impact of roads on the demography of grizzly bears in Alberta,PLoS ONE,9,12,,PubDatabase
23355,Journal Article,Bourgoin_etal,2020,Assessing the ecological vulnerability of forest landscape to agricultural frontier expansion in the Central Highlands of Vietnam,International Journal of Applied Earth Observation and Geoinformation,84,,13,PubDatabase
23357,Journal Article,Bozkaya_etal,2015,Forecasting land-cover growth using remotely sensed data: a case study of the Igneada protection area in Turkey,Environmental Monitoring and Assessment,187,3,,PubDatabase
23361,Journal Article,Bradley,2010,"Assessing ecosystem threats from global and regional change: Hierarchical modeling of risk to sagebrush ecosystems from climate change, land use and invasive species in Nevada, USA",Ecography,33,1,198-208,PubDatabase
23362,Journal Article,Bradley_etal,2020,Exposure and potential effects of pesticides and pharmaceuticals in protected streams of the US National park Service southeast region,Science of the Total Environment,704,,,PubDatabase
23364,Journal Article,Braunisch_etal,2011,Spatially explicit modeling of conflict zones between wildlife and snow sports: Prioritizing areas for winter refuges,Ecological Applications,21,3,955-967,PubDatabase
23365,Journal Article,Breen_etal,2017,Where is the risk? Integrating a spatial distribution model and a risk assessment to identify areas of cetacean interaction with fisheries in the northeast Atlantic,Ocean and Coastal Management,136,,148-155,PubDatabase
23368,Journal Article,Bright_etal,2008,Map of bird sensitivities to wind farms in Scotland: A tool to aid planning and conservation,Biological Conservation,141,9,2342-2356,PubDatabase
23371,Journal Article,Briscoe_etal,2014,"Modeling habitat and bycatch risk for dugongs in Sabah, Malaysia",Endangered Species Research,24,3,237-U168,PubDatabase
23374,Journal Article,Brito_etal,2018,Armed conflicts and wildlife decline: Challenges and recommendations for effective conservation policy in the Sahara-Sahel,Conservation Letters,11,5,,PubDatabase
23378,Journal Article,Bröker_etal,2015,"Monitoring and impact mitigation during a 4D seismic survey near a population of gray whales off Sakhalin Island, Russia",Endangered Species Research,28,3,187-208,PubDatabase
23383,Journal Article,Brown_etal,2014,Interactions between global and local stressors of ecosystems determine management effectiveness in cumulative impact mapping,Diversity and Distributions,20,5,538-546,PubDatabase
23384,Journal Article,Brown and Hamilton,2018,Estimating the footprint of pollution on coral reefs with models of species turnover,Conservation Biology,32,4,949-958,PubDatabase
23390,Journal Article,Bruschi_etal,2015,Characterizing the fragmentation level of Italian's National Parks due to transportation infrastructures,Transportation Research Part D: Transport and Environment,36,,18-28,PubDatabase
23391,Journal Article,Bryce_etal,2002,Can niche use in red and grey squirrels offer clues for their apparent coexistence?,Journal of Applied Ecology,39,6,875-887,PubDatabase
23398,Journal Article,Buckland_etal,2014,Ecological Effects of the Invasive Giant Madagascar Day Gecko on Endemic Mauritian Geckos: Applications of Binomial-Mixture and Species Distribution Models,Plos One,9,4,9,PubDatabase
23399,Journal Article,Buckley_etal,2016,How pristine are China's parks?,Frontiers in Ecology and Evolution,4,NOV,,PubDatabase
23402,Journal Article,Buma_etal,2017,Emerging climate-driven disturbance processes: widespread mortality associated with snow-to-rain transitions across 10 degrees of latitude and half the range of a climate-threatened conifer,Global Change Biology,23,7,2903-2914,PubDatabase
23404,Journal Article,Bungnamei and Saikia,2020,"PARK IN THE PERIPHERY: LAND USE AND LAND COVER CHANGE AND FOREST FRAGMENTATION IN AND AROUND YANGOUPOKPI LOKCHAO WILDLIFE SANCTUARY, MANIPUR, INDIA",Geographia Polonica,93,1,107-120,PubDatabase
23405,Journal Article,Burdett_etal,2010,Interfacing models of wildlife habitat and human development to predict the future distribution of puma habitat,Ecosphere,1,1,,PubDatabase
23407,Dissertation,Burgess_etal,2016,Tracking diseases from terrestrial landscapes to kelp forests:Combining behavioural ecology and spatial epidemiology to understand pathogen movement in coastal ecosystems,ProQuest,,,,PubDatabase
23409,Journal Article,Burivalova_etal,2020,Does biodiversity benefit when the logging stops? An analysis of conservation risks and opportunities in active versus inactive logging concessions in Borneo,Biological Conservation,241,,,PubDatabase
23412,Journal Article,Burton_etal,2012,"Hierarchical multi-species modeling of carnivore responses to hunting, habitat and prey in a West African protected area",PLoS ONE,7,5,,PubDatabase
23418,Journal Article,Butsic_etal,2015,"Conservation and conflict in the Democratic Republic of Congo: The impacts of warfare, mining, and protected areas on deforestation",Biological Conservation,191,,266-273,PubDatabase
23424,Journal Article,Cadima_etal,2014,Endemic wild potato (Solanum spp.) biodiversity status in Bolivia: Reasons for conservation concerns,Journal for Nature Conservation,22,2,113-131,PubDatabase
23428,Journal Article,Callan_etal,2020,Free-roaming dogs limit habitat use of giant pandas in nature reserves,Scientific Reports,10,1,12,PubDatabase
23429,Journal Article,Calle-Rendón_etal,2018,Vulnerability of mammals to land-use changes in Colombia's post-conflict era,Nature Conservation,29,,79-92,PubDatabase
23430,Journal Article,Calvert_etal,2005,Spatiotemporal heterogeneity of greater snow goose harvest and implications for hunting regulations,Journal of Wildlife Management,69,2,561-573,PubDatabase
23438,Journal Article,Campana_etal,2018,Seasonal patterns of floating macro-litter across the Western Mediterranean Sea: a potential threat for cetacean species,Rendiconti Lincei. Scienze Fisiche e Naturali,29,2,453-467,PubDatabase
23448,Journal Article,Cao_etal,2020,"Ozone pollution in the west China rain zone and its adjacent regions, Southwestern China: Concentrations, ecological risk, and Sources",Chemosphere,256,,,PubDatabase
23449,Journal Article,Caorsi_etal,2014,"Natural history, coloration pattern and conservation status of the threatened South Brazilian red bellied toad, Melanophryniscus macrogranulosus Braun, 1973 (Anura, Bufonidae)",Herpetology Notes,7,,585-598,PubDatabase
23452,Journal Article,Carassou_etal,2013,Does Herbivorous Fish Protection Really Improve Coral Reef Resilience? A Case Study from New Caledonia (South Pacific),PLoS ONE,8,4,,PubDatabase
23454,Journal Article,Cardoso_etal,2018,Anthropic Pressure on the Diversity of Cactaceae in a Region of Atlantic Forest in Eastern Brazil,Haseltonia,2018,24,28-35,PubDatabase
23456,Journal Article,Carle_etal,2019,Overlap of Pink-footed Shearwaters and central Chilean purse-seine fisheries: Implications for bycatch risk,Gerontologist,59,4,,PubDatabase
23461,Journal Article,Caro_etal,2020,A case study of the coconut crab Birgus latro on Zanzibar highlights global threats and conservation solutions,ORYX,,,,PubDatabase
23464,Journal Article,Carrasco_etal,2020,Selecting priority areas for the conservation of endemic trees species and their ecosystems in Madagascar considering both conservation value and vulnerability to human pressure,Biodiversity and Conservation,29,6,1841-1854,PubDatabase
23466,Journal Article,Carrete_etal,2012,Mortality at wind-farms is positively related to large-scale distribution and aggregation in griffon vultures,Biological Conservation,145,1,102-108,PubDatabase
23473,Journal Article,Carvajal-Quintero_etal,2017,Damming Fragments Species’ Ranges and Heightens Extinction Risk,Conservation Letters,10,6,708-716,PubDatabase
23477,Journal Article,Carvalho_etal,2019,Changes in secondary vegetation dynamics in a context of decreasing deforestation rates in Pará Brazilian Amazon,Applied Geography,106,,40-49,PubDatabase
23487,Dissertation,Cavalcante,2012,"Study of Baleen Whales’ Ecology and Interaction with 
Maritime Traffic Activities to Support Management of a 
Complex Socio-Ecological System",,,,,PubDatabase
23489,Journal Article,Ceballos-Mago_etal,2010,Impact of the pet trade on the Margarita capuchin monkey Cebus apella margaritae,Endangered Species Research,12,1,57-68,PubDatabase
23490,Journal Article,Ceia-Hasse_etal,2017,Global exposure of carnivores to roads,Global Ecology and Biogeography,26,5,592-600,PubDatabase
23507,Journal Article,Chaudhary and Kastner,2016,Land use biodiversity impacts embodied in international food trade,Global Environmental Change-Human and Policy Dimensions,38,,195-204,PubDatabase
23508,Journal Article,Chaudhary_etal,2017,Linking national wood consumption with global biodiversity and ecosystem service losses,Science of the Total Environment,586,,985-994,PubDatabase
23509,Journal Article,Chaudhary and Brooks,2019,National Consumption and Global Trade Impacts on Biodiversity,World Development,121,,178-187,PubDatabase
23513,Journal Article,Chaves_etal,2020,Pharmaceuticals and personal care products in a Brazilian wetland of international importance: Occurrence and environmental risk assessment,Science of the Total Environment,734,,,PubDatabase
23515,Journal Article,Chee_etal,2017,Land reclamation and artificial islands: Walking the tightrope between development and conservation,Global Ecology and Conservation,12,,80-95,PubDatabase
23517,Journal Article,Chen,2014,Spatial risk assessment of alien plants in China using biodiversity resistance theory,Computational Ecology and Software,4,2,82-88,PubDatabase
23518,Journal Article,Chen and Koprowski,2015,Animal occurrence and space use change in the landscape of anthropogenic noise,Biological Conservation,192,,315-322,PubDatabase
23523,Dissertation,Cheng,2017,"Long-Term Impacts of an Emerging Disease, White-Nose Syndrome: Drivers, Mechanisms, and Conservation Action Influencing the Persistence of North American Bats",,,,122,PubDatabase
23527,Journal Article,Chettri_etal,2013,"Linking Spatio-temporal land cover change to biodiversity conservation in the koshi tappu wildlife reserve, Nepal",Diversity,5,2,335-351,PubDatabase
23528,Journal Article,Chevaldonné and Lejeusne,2003,Regional warming-induced species shift in north-west mediterranean marine caves,Ecology Letters,6,4,371-379,PubDatabase
23530,Journal Article,Chirichella_etal,2013,Effects of livestock and non-native mouflon on use of high-elevation pastures by Alpine chamois,Mammalian Biology,78,5,344-350,PubDatabase
23531,Journal Article,Choe and Thorne,2019,Climate exposure of East Asian temperate forests suggests transboundary climate adaptation strategies are needed,Climatic Change,156,2022-02-01,51-67,PubDatabase
23534,Journal Article,Choquette Jonathan_etal,2020,Identifying Potential Connectivity for an Urban Population of Rattlesnakes (Sistrurus catenatus) in a Canadian Park System,Land,9,9,313,PubDatabase
23537,Journal Article,Chowdhury and Maiti,2016,"Assessing the ecological health risk in a conserved mangrove ecosystem due to heavy metal pollution: A case study from Sundarbans Biosphere Reserve, India",Human and Ecological Risk Assessment,22,7,1519-1541,PubDatabase
23543,Journal Article,Chu_etal,2003,Comparative regional assessment of factors impacting freshwater fish biodiversity in Canada,Canadian Journal of Fisheries and Aquatic Sciences,60,5,624-634,PubDatabase
23547,Journal Article,Chun_etal,2020,Social big data informs spatially explicit management options for national parks with high tourism pressures,Tourism Management,81,,16,PubDatabase
23552,Journal Article,Chytry_etal,2009,European map of alien plant invasions based on the quantitative assessment across habitats,Diversity and Distributions,15,1,98-107,PubDatabase
23559,Journal Article,Clare_etal,2019,Satellite-detected forest disturbance forecasts American marten population decline: The case for supportive space-based monitoring,Biological Conservation,233,,336-345,PubDatabase
23560,Journal Article,Clark and Tittensor,2010,An index to assess the risk to stony corals from bottom trawling on seamounts,Marine Ecology,31,SUPPL. 1,200-211,PubDatabase
23565,Journal Article,Clarke_etal,2015,Cumulative effects of planned industrial development and climate change on marine ecosystems,Global Ecology and Conservation,4,,110-116,PubDatabase
23566,Journal Article,Clarke_etal,2018,"Assessing the vulnerability of demersal elasmobranchs to a data-poor shrimp trawl fishery in Costa Rica, Eastern Tropical Pacific",Biological Conservation,217,,321-328,PubDatabase
23571,Journal Article,Clavero and García-Berthou,2006,Homogenization dynamics and introduction routes of invasive freshwater fish in the Iberian Peninsula,Ecological Applications,16,6,2313-2324,PubDatabase
23572,Journal Article,Clavero_etal,2010,Geographical linkages between threats and imperilment in freshwater fish in the Mediterranean Basin,Diversity and Distributions,16,5,744-754,PubDatabase
23573,Journal Article,Clay_etal,2019,A comprehensive large-scale assessment of fisheries bycatch risk to threatened seabird populations,Journal of Applied Ecology,56,8,1882-1893,PubDatabase
23576,Journal Article,Clements_etal,2014,Where and how are roads endangering mammals in Southeast Asia's forests?,PLoS ONE,9,12,,PubDatabase
23581,Journal Article,Codato_etal,2019,"Oil production, biodiversity conservation and indigenous territories: Towards geographical criteria for unburnable carbon areas in the Amazon rainforest",Applied Geography,102,,28-38,PubDatabase
23582,Journal Article,Coll_etal,2012,"The Mediterranean Sea under siege: Spatial overlap between marine biodiversity, cumulative threats and marine reserves",Global Ecology and Biogeography,21,4,465-480,PubDatabase
23583,Journal Article,Coll_etal,2015,'Low-hanging fruit' for conservation of marine vertebrate species at risk in the Mediterranean Sea,Global Ecology and Biogeography,24,2,226-239,PubDatabase
