ArticleID,Authors,Year,Study_design,Ecoregion,Spatial_Scale,Spatial_res_unit,Spatial_res,Continent_Ocean,Country_EEZ,Threat_metric,Threat_data,Threat,Quantity_threats,threat_precision,threat_database,Pop_metric,Pop_data,pop_database,tax_res,tax_scope,tax_kingdom,plant_group,animal_group
23062,Albright_etal,2017,Observational,Terrestrial,Sub-national,degrees,0.125,north america,United States,modelled,Quantitative,11.2:CC_Drought,1,level2,NA,survey,Qualitative ,NA,species,order,animalia,na,bird
23063,Alcaraz_etal,2015,Observational,Freshwater,Sub-national,km2,10,europe,Spain,survey,Qualitative,8.1:SDAlienInv,1,level2,NA,survey,Qualitative ,NA,species,species,animalia,na,Fish
23051,Al-Chokhachy_etal,2014,Observational,Freshwater,Local,polygon,NA,north america,Canada;United States,survey,Quantitative,8.2:SDNativProb,1,level2,NA,survey,Qualitative ,NA,species,family,animalia,na,Fish
23064,Alexander and Waters,2000,Observational,Terrestrial,Local,polygon,NA,north america,Canada,survey,Qualitative,4.1:RoadRail,1,level2,na,survey,qualitative,NA,species,class,animalia,na,mammal
23068,Alfred_etal,2010,Observational,Terrestrial,Sub-national,m,2.5,asia,Malaysia,rs,Qualitative,2.1:AgNTC;2.2:AgWood;4.1:RoadRail,3,level2,NA,survey,Quantitative,NA,species,species,animalia,na,mammal
23071,Allan_etal,2017,Observational,Terrestrial,Global,polygon,NA,na,na,pcm,Quantitative,1.1:DevResid;1.2:DevComInd;1.3:DevRnR;2.1:AgNTC;2.3:AgLivestock;4.1:RoadRail;9.6:PollEnergy,7,cumulative,HFI,protected_area,Qualitative ,NaturalWorldHeritage,other,other,other,na,na
23072,Allan_etal,2019,Observational,Terrestrial,Global,km2,30,na,na,pcm,Quantitative,1.1:DevResid;1.2:DevComInd;2.1:AgNTC;2.3:AgLivestock;4.1:RoadRail;4.2:UtilityLine;5.1:UseAnimals;5.2:UsePlant;6.1:ActivRnR;6.3:Other;8.1:SDAlienInv;9.1:PollDWW;9.3:PollAgrFor;9.4:PollGarbSW;9.6:PollEnergy,15,cumulative,HFI,database,Quantitative,IUCN,phylum,phylum,animalia,na,mammal;amphibia;bird
23073,Almeida_etal,2014,Observational,Freshwater,Sub-national,km2,10,europe,United Kingdom,survey,Qualitative,8.1:SDAlienInv,1,level2,NA,survey,Qualitative ,NA,species,species,animalia,na,invertebrates
23074,Almodóvar_etal,2012,Observational,Freshwater,Local,polygon,NA,europe,Spain,survey,Qualitative,11.3:CC_Temp,1,level2,NA,survey,Qualitative ,NA,species,species,animalia,na,Fish
23052,Al-Nasrawi_etal,2018,Observational,Terrestrial,Local,m,0.8,australasia,Australia,rs,Qualitative,11.1:CC_Habitat,1,level2,NA,rs,Qualitative ,NA,phylum,phylum,plantae,mangrove;vegetation,na
23080,Álvarez,2003,Observational,Terrestrial,National,polygon,NA,south america,Colombia,literature,Qualitative,6.2:WarConflict,1,level2,NA,literature,Qualitative ,NA,kingdom,kingdom,plantae,forest,na
23082,Alvarez-Berastegui_etal,2014,Observational,Marine,Sub-national,m,300,mediterranean,Spain,expert;literature;survey,Quantitative,1.1:DevResid;2.4:Aqua;5.4:UseAquatic;6.1:ActivRnR,4,cumulative,NA,expert;literature;survey,Quantitative,NA,domain,domain,animalia;plantae,liliopsida,fish
23083,Alvarez-Berrios and Mitchell,2015,Observational,Terrestrial,Multi-national,m,250,south america,Brazil;Bolivia;Peru;French Guyana;Suriname;Guyana;Venezuela;Colombia;Ecuador,database;literature;rs,Qualitative,3.2:MinQuar,1,level2,private mining GIS databases,rs,quantitative,NA,kingdom,kingdom,plantae,forest,na
23085,Alvarez-Filip_etal,2019,Observational,Marine,Sub-national,polygon,na,north atlantic,Mexico,survey,Quantitative,8.6:DUnknownC,1,level2,na,survey,qualitative,NA,class,class,animalia,na,invertebrates
23086,Alvarez-Romero_etal,2013,Observational,Marine,Sub-national,m,500,south pacific,Australia,modelled;rs,Quantitative,9.7:PollUnspec,1,level1,NA,rs,Qualitative ,NA,family,domain,animalia;plantae,liliopsida,invertebrates
23087,Alves_etal,2014,Observational,Terrestrial,Multi-national,degrees,0.16,north america,Canada;United States,literature,Qualitative,8.1:SDAlienInv,1,level2,NA,literature,Qualitative ,NA,family,family,animalia,na,mammal
25335,Amano_etal,2020,Observational,Terrestrial,Global,degrees,1,na,na,database,Quantitative,11.3:CC_Temp;11.5:CC_other,2,level2,CRU TS v4.01,database;survey,Quantitative,International Bird Census_ICW,class,class,animalia,na,bird
23091,Ambastha_etal,2010,Observational,Terrestrial,Local,m,250,asia,India,rs,Qualitative,1.1:DevResid;2.4:Aqua;2.5:AgUncpec,3,level2,NA,protected_area;rs,Qualitative ,NA,family,family,plantae,liliopsida,na
23100,Andersen_etal,2020,Observational,Marine,National,km2,2,north atlantic,Denmark,modelled,Quantitative,7.2:WaterSystem;11.3:CC_Temp;9.7:PollUnspec;9.4:PollGarbSW;9.6:PollEnergy;1.2:DevComInd;2.4:Aqua;6.2:WarConflict;8.1:SDAlienInv;3.1:OilGas;3.3:Renew;4.2:UtilityLine;9.2:PollIndMil;4.3:ShipLane;6.1:ActivRnR;5.4:UseAquatic,16,cumulative,NA,modelled,Quantitative,NA,domain,domain,animalia;plantae,liliopsida,chordata
W26591,Anderson_etal,2017,Observational,Marine,Local,polygon,NA,north atlantic,Belize,survey,Quantitative,8.1:SDAlienInv,1,level2,NA,protected_area,Qualitative ,NA,other,other,other,na,na
23105,Andrade-Díaz_etal,2019,Observational,Terrestrial,Sub-national,NA,NA,south america,Argentina,database,Qualitative,2.1:AgNTC;2.2:AgWood,2,cumulative,geoportal.idesa.gob.ar,modelled,Quantitative,NA,order,order,animalia,na,reptile
23106,Andréfouët_etal,2015,Observational,Marine,Multi-national,m,30,south pacific,Cook Islands;French Polynesia,database;rs,Quantitative,11.3:CC_Temp,1,level2,AVHRR Pathfinder V4.1,literature,Qualitative ,NA,kingdom,kingdom,animalia,na,invertebrates
23114,Anjos_etal,2018,Observational,Terrestrial,Continental,km2,6,south america,na,modelled,Quantitative,11.1:CC_Habitat,1,level2,na,rs,qualitative,NA,kingdom,kingdom,plantae,forest;habitat;habitat,na
23117,Ansari and Golabi,2019,Observational,Terrestrial,Local,polygon,NA,asia,Iran,rs;survey,Qualitative,1.1:DevResid;2.1:AgNTC;2.3:AgLivestock,3,level1,NA,survey,Qualitative ,NA,species,species,animalia,na,mammal
23128,Araújo and Wang,2015,Observational,Freshwater,Sub-national,polygon,NA,south america,Brazil,literature;rs,Qualitative,7.2:WaterSystem,1,level2,NA,literature,Qualitative ,NA,species,family,animalia,na,mammal
23125,Araújo_etal,2008,Observational,Terrestrial,Continental,km2,50,europe,na,database,Quantitative,1.1:DevResid;1.2:DevComInd;2.1:AgNTC;2.3:AgLivestock,3,level2,Eurostat2000,modelled,Qualitative ,NA,class,domain,animalia;plantae,tracheophyta,bird;mammal;reptile;amphibia
23135,Arkema_etal,2014,Observational,Marine,National,m,500,north atlantic,Belize,expert;modelled,Quantitative,1.1:DevResid;1.2:DevComInd;1.3:DevRnR;2.4:Aqua;3.1:OilGas;4.3:ShipLane;5.4:UseAquatic;9.3:PollAgrFor;3.2:MinQuar;6.1:ActivRnR,10,level2,NA,expert,Qualitative ,NA,class,domain,animalia;plantae,mangrove;liliopsida,invertebrates
23138,Armenteras_etal,2013,Observational,Terrestrial,Local,polygon,NA,south america,Colombia,rs,Qualitative,2.3:AgLivestock;7.1:FireSystem;2.1:AgNTC,3,level2,NA,rs,Qualitative ,NA,kingdom,kingdom,plantae,forest,na
23142,Arroyave_etal,2020,Observational,Terrestrial,National,polygon,NA,south america,Colombia,literature,Qualitative;Quantitative,5.1:UseAnimals;6.3:Other,2,level2,NA,literature,Qualitative ,NA,class,class,animalia,na,reptile
23146,Asharfi_etal,2020,Observational,Terrestrial,Local,m,20,asia,Iran,rs;survey,Quantitative,1.2:DevComInd;9.2:PollIndMil,2,level2,NA,rs;survey,Qualitative ,NA,species,kingdom,plantae,forest;magnoliopsida,na
23147,Ashcroft_etal,2009,Observational,Terrestrial,Local,polygon,ha,australasia,Australia,survey,Quantitative,11.1:CC_Habitat,1,level2,na,survey,qualitative,NA,kingdom,kingdom,plantae,forest,na
23150,Asner_etal,2008,Observational,Terrestrial,Local,m,3,north america,United States,rs,Qualitative,8.1:SDAlienInv,1,level2,NA,rs,Qualitative ,NA,kingdom,kingdom,plantae,forest,na
23151,Asner_etal,2009,Observational,Terrestrial,Global,m,500,na,na,literature;rs,Qualitative,2.3:AgLivestock;5.3:UseWood,2,level2,na,literature;rs,qualitative,NA,kingdom,kingdom,plantae,forest,na
23154,Assuncao_etal,2019,Observational,Terrestrial,Sub-national,degrees,0.5,south america,Brazil,pcm,Quantitative,8.1:SDAlienInv,1,level2,Oliveria2018,protected_area,Quantitative,NA,other,other,other,na,na
23155,Astiaso_etal,2013,Observational,Terrestrial,National,polygon,na,europe,Italy,modelled,Quantitative,1.1:DevResid;1.2:DevComInd,2,level1,NA,protected_area,Qualitative ,NA,other,other,other,na,na
23160,Atkore_etal,2020,Observational,Freshwater,Sub-national,NA,NA,asia,India,database;survey,Quantitative,3.2:MinQuar;5.4:UseAquatic;9.1:PollDWW;9.3:PollAgrFor,4,level2,APHRODITE,survey,quantitative,NA,class,phylum,animalia,na,fish
23163,Aubrecht_etal,2008,Observational,Marine,Global,km,km,na,na,rs,Quantitative,1.1:DevResid;3.1:OilGas;5.4:UseAquatic,3,cumulative,DMSP Operational Linescan System (DMSP OLS) ,rs,qualitative,NA,order,order,animalia,na,invertebrates
23164,Auerbach_etal,2014,Observational,Terrestrial,Sub-national,ha,25,australasia,Australia,modelled,Quantitative,8.1:SDAlienInv;2.3:AgLivestock,2,level2,NA,literature,Qualitative ,NA,domain,domain,animalia;plantae,tracheophyta,chordata
23169,Avila_etal,2018,S_Review,Marine,Global,degrees,0.5,na,na,literature,Qualitative,2.4:Aqua;5.4:UseAquatic;4.3:ShipLane;6.1:ActivRnR;6.3:Other;9.1:PollDWW;9.4:PollGarbSW;9.6:PollEnergy;11.3:CC_Temp;11.1:CC_Habitat;11.4:CC_WetWeather;8.1:SDAlienInv;4.4:FlightPath,13,cumulative,NA,literature,Quantitative,NA,class,class,animalia,na,mammal
23170,Awkerman_etal,2016,Observational,Marine,Local,m,90,north atlantic,United States,modelled,Quantitative,3.1:OilGas,1,level2,NA,modelled,Quantitative,NA,species,species,animalia,na,Fish
23171,Ayele_etal,2016,Observational,Terrestrial,Local,m,30,africa,Ethiopia,rs,Qualitative,2.1:AgNTC;2.3:AgLivestock,2,level2,na,rs,qualitative,NA,kingdom,kingdom,plantae,vegetation;forest;vegetation,na
23177,Bacigalupe_etal,2019,Observational,Terrestrial,National,km2,1,south america,Chile,literature;survey,Qualitative,8.1:SDAlienInv,1,level2,NA,literature;pchba;survey,Quantitative,BiodiversityHotspot,class,class,animalia,na,amphibia
23185,Bahaa-El-Din_etal,2016,Observational,Terrestrial,Local,polygon,na,africa,Gabon,survey,Qualitative,1.1:DevResid;2.2:AgWood;5.1:UseAnimals;5.3:UseWood,4,cumulative,NA,survey,Qualitative ,NA,species,species,animalia,na,mammal
23188,Baig and Aldosari,2012,Observational,Terrestrial,Local,NA,NA,asia,Pakistan,rs,Qualitative,1.4:DevUnspec,1,level1,NA,protected_area,Qualitative ,RAMSAR,other,other,other,na,na
23190,Bailey_etal,2017,Observational,Terrestrial,Sub-national,km2,25,north america,United States,rs,Qualitative,1.1:DevResid;2.1:AgNTC;2.3:AgLivestock,2,level1,na,survey,qualitative,NA,species,species,animalia,na,mammal
23196,Balasingham_etal,2018,Observational,Freshwater,Local,polygon,na,north america,Canada,survey,Qualitative,8.1:SDAlienInv,1,level2,na,survey,qualitative,NA,species,class,animalia,na,Fish
23197,Baláž_etal,2014,Observational,Freshwater,Continental,polygon,na,europe,na,survey,Qualitative,8.1:SDAlienInv,1,level2,NA,survey,Qualitative ,NA,class,class,animalia,na,amphibia
23200,Balotari-Chiebao_etal,2018,Observational,Terrestrial,National,km2,25,europe,Finland,database,Qualitative,3.3:Renew,1,level2,FinnishWindAtlas,rs,Qualitative ,NA,species,species,animalia,na,bird
23202,Balzotti_etal,2016,Observational,Terrestrial,Sub-national,polygon,na,north america,United States,literature;modelled,Quantitative,3.1:OilGas;8.1:SDAlienInv;11.1:CC_Habitat,3,cumulative,NA,pchba,Qualitative ,PAC;USFWS,other,other,other,na,na
23207,Bangs_etal,2018,Observational,Freshwater,Local,polygon,na,north america,United States,survey,Qualitative,8.1:SDAlienInv,1,level2,na,survey,qualitative,NA,species,genus,animalia,na,Fish
23211,Barbarossa_etal,2020,Observational,Freshwater,Global,polygon,na,na,na,database,Quantitative,7.2:WaterSystem,1,level2,GRanD;GOODD,database;literature,qualitative,IUCN,phylum,phylum,animalia,na,fish
23222,Baret_etal,2006,Observational,Terrestrial,Local,m,500,africa,Mauritius,survey,Quantitative,8.1:SDAlienInv,1,level2,NA,pchba,Qualitative ,BiodiversityHotspot,other,other,other,na,na
23223,Barilani_etal,2007,Observational,Terrestrial,Multi-national,NA,NA,europe,France;Italy;Spain,survey,Qualitative,8.1:SDAlienInv,1,level2,NA,survey,Qualitative ,NA,species,genus,animalia,na,bird
23232,Barthelmess,2014,Observational,Terrestrial,Local,m,30,north america,United States,survey,Qualitative,4.1:RoadRail,1,level2,NA,survey,Qualitative ,NA,class,class,animalia,na,mammal
23234,Bartolino_etal,2012,Observational,Marine,Sub-national,km2,1369,north pacific,Alaska,survey,Quantitative,5.4:UseAquatic,1,level2,NA,survey,Quantitative,NA,species,species,animalia,na,fish
23236,Bartz_etal,2015,Observational,Freshwater,Local,m,30,north america,United States,rs,Qualitative,1.4:DevUnspec,1,level1,NA,literature,Qualitative ,Ford etal 2011,species,species,animalia,na,fish
23237,Barve_etal,2005,Observational,Terrestrial,Local,ha,30,asia,India,literature;survey,Quantitative,1.1:DevResid;2.1:AgNTC;2.3:AgLivestock;5.1:UseAnimals;5.2:UsePlant;5.3:UseWood;7.1:FireSystem;8.1:SDAlienInv,8,level1,NA,protected_area,Qualitative ,NA,other,other,other,na,na
23242,Bass_etal,2010,Observational,Terrestrial,Sub-national,km2,100,south america,Ecuador,literature,Qualitative,3.1:OilGas,1,level2,NA,literature;protected_area,Qualitative ,NA,class,domain,animalia;plantae,tracheophyta,amphibia;bird;mammal
23247,Battiston_etal,2012,Observational,Terrestrial,Local,m,0.5,europe,France,rs,Qualitative,1.1:DevResid;4.1:RoadRail,2,level2,NA,survey,Qualitative ,NA,species,species,animalia,na,mammal
23249,Bax_etal,2019,Observational,Terrestrial,Sub-national,NA,NA,south america,Peru,database,Qualitative,3.2:MinQuar;3.1:OilGas;2.2:AgWood,3,level2,MINAGRI;INGEMMET;PeruPetro,database;pchba,Quantitative,MINAM;BirdLife,other,other,other,na,na
23252,Baynard_etal,2017,Observational,Terrestrial,Sub-national,m,1,north america,United States,rs,Qualitative,3.1:OilGas;3.3:Renew,1,level2,NA,protected_area;rs,Qualitative ,NA,kingdom,kingdom,plantae,habitat,na
23256,Beaudry_etal,2008,Observational,Terrestrial,Local,polygon,na,north america,United States,modelled;survey,Quantitative,4.1:RoadRail,1,level2,NA,survey,Qualitative ,NA,species,order,animalia,na,reptile
23258,Bebbington_etal,2018,Observational,Terrestrial,Multi-national,polygon,na,asia;south america,Brazil;Peru;Indonesia,database;expert;literature,Quantitative,3.1:OilGas;4.1:RoadRail;3.2:MinQuar;2.2:AgWood;2.1:AgNTC;5.3:UseWood,6,level2,NA,database;expert;literature;protected_area,Qualitative ,NA,kingdom,kingdom,plantae,forest,na
23261,Becker and Zamudio,2011,Observational,Terrestrial,National,km2,1,north america,Costa Rica,database,Qualitative,8.1:SDAlienInv,1,level2,NA,database,Qualitative ,NA,order,order,animalia,na,amphibia
23262,Bedrosian_etal,2020,Observational,Terrestrial,Sub-national,km2,1,north america,United States,modelled,Quantitative,4.2:UtilityLine,1,level2,NA,literature,Quantitative,NA,species,species,animalia,na,bird
23266,Bejaoui_etal,2020,Observational,Freshwater,Local,polygon,na,africa,Tunisia,literature,Qualitative,2.4:Aqua;1.1:DevResid;1.2:DevComInd;4.3:ShipLane;5.4:UseAquatic,5,level1,NA,survey,Qualitative ,NA,species,species,animalia,na,invertebrates
23276,Bellard_etal,2016,Observational,Terrestrial,Global,minutes,10,na,na,database,Quantitative,8.1:SDAlienInv,1,level2,IUCN,database,Quantitative,IUCN,class,phylum,animalia,na,mammal;bird;reptile;amphibia
23278,Belpaire_etal,2015,Observational,Freshwater,Sub-national,polygon,na,europe,Belgium,survey,Quantitative,9.2:PollIndMil,1,level2,na,survey,qualitative,NA,species,species,animalia,na,Fish
23280,Ben Rais_etal,2016,Observational,Marine,Sub-national,degrees,0.1,mediterranean,Tunisia,expert;literature,Quantitative,2.4:Aqua;5.1:UseAnimals;4.3:ShipLane;8.1:SDAlienInv;9.1:PollDWW;9.2:PollIndMil;9.3:PollAgrFor;3.1:OilGas;11.3:CC_Temp,9,level2,NA,database,Qualitative ,FishMed,phylum,phylum,animalia,na,fish
23282,Bendell and Wan,2011,Observational,Marine,Local,polygon,NA,north pacific,Canada,rs;survey,Qualitative,2.4:Aqua,1,level2,NA,modelled,Quantitative,NA,class,class,animalia,na,bird
23285,Bennett_etal,2010,Observational,Freshwater,Sub-national,polygon,NA,north america,Canada,survey,Qualitative,8.1:SDAlienInv,1,level2,NA,survey,Qualitative ,NA,species,species,animalia,na,Fish
23290,Benslimane_etal,2019,Observational,Freshwater,Local,polygon,na,africa,Algeria,rs,Qualitative,2.5:AgUncpec;4.1:RoadRail;1.4:DevUnspec;7.2:WaterSystem,4,level1,NA,protected_area,Qualitative ,NA,other,other,other,na,na
23293,Berthon_etal,2018,Observational,Terrestrial,National,km2,1,australasia,Australia,database;literature,Qualitative,8.1:SDAlienInv,1,level2,Government,database;literature,Qualitative ,Government,family,family,plantae,magnoliopsida,na
23301,Bezeng_etal,2020,Observational,Terrestrial,National,km2,1,africa,South Africa,literature,Quantitative,8.1:SDAlienInv,1,level2,NA,database;protected_area,Qualitative ,SouthAfricanProtectedAreaDatabase,other,other,other,na,na
23303,Bhatt_etal,2016,Observational,Freshwater,National,NA,NA,asia,India,database;modelled,Quantitative,1.1:DevResid;2.5:AgUncpec;8.1:SDAlienInv,3,cumulative,India-WRIS,modelled,Quantitative,FishBase,phylum,phylum,animalia,na,fish
23304,Bhola_etal,2012,Observational,Terrestrial,Local,km2,25,africa,Kenya,literature;survey,Quantitative,2.3:AgLivestock;2.1:AgNTC;1.1:DevResid,3,level2,NA,survey,Quantitative,NA,species,class,animalia,na,mammal
23306,Bi_etal,2020,Observational,Marine,Multi-national,NA,NA,north atlantic,United States;Mexico;Cuba;Bahamas;Dominican Republic;Dominica;Trinidad and Tobago;Barbados;Grenada;Saint Lucia;Martinique;Aruba;Antigua and Barbuda;Anguilla;Bonaire; British Virgin Islands;Cayman Islands;Dominica;Guadeloupe;Jamaica;Montserrat;Navassa Island;Puerto Rico;Saba; Saint Kitts and Nevis;Saint Vincent and the Grenadines;Turks and Caicos Islands;United States Virgin Islands;Belize;Haiti;Honduras;Colombia;Panama; Curaçao; Saint-Barthélemy; Sint-Eustatius; Collectivity of Saint Martin; Nicaragua,database,Qualitative,5.4:UseAquatic,1,level2,PelagicObserverProgram_POP,database,Qualitative ,POP,class,class,animalia,na,bird
23313,Binothman,2016,Observational,Terrestrial,Sub-national,polygon,na,asia,Saudi Arabia,survey,Qualitative,5.1:UseAnimals,1,level2,NA,survey,Quantitative,NA,species,genus,animalia,na,bird
23315,Birkmanis_etal,2020,Observational,Marine,National,km2,81,indian ocean,Australia,database,Quantitative,5.1:UseAnimals,1,level2,AustalianBureauofAgricultural and ResourceEconomicsandSciences_ABARES,database,Quantitative,NA,genus,class,animalia,na,Fish
23318,Bisi_etal,2019,Observational,Terrestrial,Local,polygon,m,asia,Myanmar (Burma),survey,Qualitative,5.1:UseAnimals,1,level2,na,survey,qualitative,NA,species,class,animalia,na,mammal
23330,Böhm_etal,2013,Observational,Marine;Terrestrial,Global,km2,7770,na,na,database,Quantitative,2.2:AgWood;2.5:AgUncpec;5.1:UseAnimals,3,level2,IUCNredlist,database,Quantitative,IUCNredlist,class,class,animalia,na,reptile
23331,Böhm_etal,2016,Observational,Marine;Terrestrial,Global,km2,7770,na,na,database,Quantitative,11.3:CC_Temp;11.2:CC_Drought;11.5:CC_other,3,level1,IUCNredlist,database,Quantitative,IUCNredlist,class,class,animalia,na,reptile
23337,Bonesi_etal,2007,Observational,Freshwater,Local,km2,25,europe,United Kingdom,literature,Qualitative,8.1:SDAlienInv,1,level2,NA,literature,Qualitative ,NA,species,species,animalia,na,mammal
23340,Borah_etal,2016,Observational,Terrestrial,Sub-national,km2,100,asia,India,survey,Qualitative,4.1:RoadRail,1,level2,na,survey,quantitative,NA,species,species,animalia,na,mammal
23343,Borrelli_etal,2015,Observational,Terrestrial,Local,m,500,south america,Colombia,rs,Quantitative,7.1:FireSystem,1,level2,NA,protected_area,Qualitative ,NA,other,other,other,na,na
23345,Bose_etal,2020,Observational,Terrestrial,Sub-national,m,100,europe,Germany,modelled,Quantitative,3.3:Renew,1,level2,NA,survey,Quantitative,NA,species,species,animalia,na,bird
23350,Bouchard_etal,2015,Observational,Terrestrial,Local,polygon,NA,africa,South Africa,survey,Qualitative,8.1:SDAlienInv;6.1:ActivRnR,2,level2,NA,protected_area,Qualitative ,NA,other,other,other,na,na
23353,Boulanger_etal,2014,Observational,Terrestrial,Sub-national,polygon,NA,north america,Canada,literature,Qualitative,4.1:RoadRail,1,level2,NA,rs,Qualitative ,NA,species,species,animalia,na,mammal
23355,Bourgoin_etal,2020,Observational,Terrestrial,Sub-national,m,10,asia,Thailand,rs,Qualitative,2.1:AgNTC;2.3:AgLivestock;2.2:AgWood,1,level1,NA,rs,Qualitative ,NA,kingdom,kingdom,plantae,forest,na
23357,Bozkaya_etal,2015,Observational,Terrestrial,Local,m,30,asia,Turkey,rs,Qualitative,2.5:AgUncpec;1.1:DevResid;4.1:RoadRail,3,level2,NA,rs,Qualitative ,NA,kingdom,kingdom,plantae,forest,na
23361,Bradley,2010,Observational,Terrestrial,Sub-national,m,30,north america,United States,database;rs,Qualitative,11.3:CC_Temp;2.5:AgUncpec;8.1:SDAlienInv;4.1:RoadRail,4,level2,USDA_AerialPhotographyFieldOffice; 2000Census; NED1999; Landsat,database,qualitative,Sagestitch2002,genus,genus,plantae,magnoliopsida,na
23362,Bradley_etal,2020,Observational,Freshwater,Sub-national,polygon,NA,north america,United States,survey,Quantitative,9.1:PollDWW;9.3:PollAgrFor,2,level1,NA,protected_area,Qualitative ,NA,other,other,other,na,na
23364,Braunisch_etal,2011,Observational,Terrestrial,Local,m,25,europe,Switzerland,rs,Qualitative,6.1:ActivRnR;1.2:DevComInd,2,level2,NA,modelled;rs,Quantitative,NA,species,species,animalia,na,bird
23365,Breen_etal,2017,Observational,Marine,Sub-national,km2,48,north atlantic,United Kingdom;Ireland,database,Quantitative,5.4:UseAquatic,1,level2,MarineInstituteIreland,database,Quantitative,SCANS1&2;CODA;JNCC;NationalBiodiversityDatacentre,species,order,animalia,na,mammal
23368,Bright_etal,2008,Observational,Terrestrial,National,km2,1,europe,United Kingdom,database,Quantitative,3.3:Renew,2,level2,ScottishNaturalHeritage_RenewableEnergyDatabase,database;survey,Quantitative,RSPB,class,class,animalia,na,bird
23371,Briscoe_etal,2014,Observational,Terrestrial,Sub-national,km2,1.44,asia,Malaysia,literature,Quantitative,5.4:UseAquatic,2,level2,NA,database;literature;modelled,Quantitative,MarineResearchFOundation_MRF,species,species,animalia,na,mammal
23374,Brito_etal,2018,Observational,Terrestrial,Multi-national,polygon,na,africa,Mauritania;Western Sahara; Algeria;Tunisia;Libya;Egypt;Sudan;Mali;Burkina Faso;Niger;Chad;Nigeria,database;literature;survey,Quantitative,3.1:OilGas;3.2:MinQuar;4.1:RoadRail;5.1:UseAnimals;6.2:WarConflict;6.3:Other,6,level2,multiple sources,expert;literature;survey,qualitative,IUCN,species,phylum,animalia,na,mammal
23378,Bröker_etal,2015,Observational,Marine,Sub-national,km2,1,north pacific,Russia,survey,Qualitative,9.6:PollEnergy;6.3:Other,2,level2,NA,survey,Quantitative,NA,species,species,animalia,na,mammal
23384,Brown and Hamilton,2018,Observational,Marine,Local,polygon,NA,south pacific,Solomon Islands,modelled;survey,Quantitative,5.3:UseWood,1,level2,NA,survey,Qualitative ,NA,class,class,animalia,na,invertebrates
23383,Brown_etal,2014,Observational,Marine,National,polygon,NA,indian ocean,Australia;Indonesia;Vietnam;Philippines;Malaysia; Oecusse; Papua New Guinea; East Timor; Bangladesh; Guam; Northern Mariana Islands; Palau; Singapore; Thailand; Brunei; Taiwan; Cambodia; Myanmar,literature,Quantitative,11.3:CC_Temp;9.7:PollUnspec,2,level2,Halpern et al 2008,database,Qualitative ,UNEP,order,order,plantae,liliopsida,na
23390,Bruschi_etal,2015,Observational,Terrestrial,National,m,250,europe,Italy,database,Qualitative,4.1:RoadRail,1,level2,EuropeanComission2013; ERF2011,protected_area,Qualitative ,NA,other,other,other,na,na
