ArticleID,Authors,Year,Study_design,Ecoregion,Spatial_Scale,Spatial_res,Continent_Ocean,country_eez,Title
23190,Bailey_etal,2017,Observational,Terrestrial,Sub-national,25,north america,United States,Impact of land use and climate on the distribution of the endangered Florida bonneted bat
23196,Balasingham_etal,2018,Observational,Freshwater,Local,,north america,Canada,Environmental DNA detection of rare and invasive fish species in two Great Lakes tributaries
23197,Baláž_etal,2014,Observational,Freshwater,Continental,,europe,Unknown,Assessing Risk and Guidance on Monitoring of Batrachochytrium dendrobatidis in Europe through Identification of Taxonomic Selectivity of Infection
23200,Balotari-Chiebao_etal,2018,Observational,Terrestrial,National,25,europe,Finland,Assessing space use by pre-breeding white-tailed eagles in the context of wind-energy development in Finland
23202,Balzotti_etal,2016,Observational,Terrestrial,Sub-national,,north america,United States,Beyond the single species climate envelope: A multifaceted approach to mapping climate change vulnerability
23207,Bangs_etal,2018,Observational,Freshwater,Local,,north america,United States,Introgressive hybridization and species turnover in reservoirs: a case study involving endemic and invasive basses (Centrarchidae: Micropterus) in southeastern North America
23211,Barbarossa_etal,2020,Observational,Freshwater,Global,,Unknown,Unknown,Impacts of current and future large dams on the geographic range connectivity of freshwater fish worldwide
23222,Baret_etal,2006,Observational,Terrestrial,Local,500,africa,Mauritius,"Current distribution and potential extent of the most invasive alien plant species on La Réunion (Indian Ocean, Mascarene islands)"
23223,Barilani_etal,2007,Observational,Terrestrial,Multi-national,,europe,France,Hybridisation with Introduced Chukars (Alectoris chukar) Threatens the Gene Pool Integrity of Native Rock (A. graeca) and Red-Legged (A. rufa) Partridge Populations
23232,Barthelmess,2014,Observational,Terrestrial,Local,30,north america,United States,Spatial distribution of road-kills and factors influencing road mortality for mammals in Northern New York State
23234,Bartolino_etal,2012,Observational,Marine,Sub-national,1369,north pacific,Alaska,Scale-dependent detection of the effects of harvesting a marine fish population
23236,Bartz_etal,2015,Observational,Freshwater,Local,30,north america,United States,"Trends in developed land cover adjacent to habitat for threatened salmon in Puget Sound, Washington, U.S.A"
23237,Barve_etal,2005,Observational,Terrestrial,Local,30,asia,India,Measuring and mapping threats to a wildlife sanctuary in southern India
23242,Bass_etal,2010,Observational,Terrestrial,Sub-national,100,south america,Ecuador,Global conservation significance of Ecuador's Yasuní National Park
23247,Battiston_etal,2012,Observational,Terrestrial,Local,0.5,europe,France,"Pleiades HR, a tool for biodiversity conservation: Case of common hamster on the Alsace Plain"
23249,Bax_etal,2019,Observational,Terrestrial,Sub-national,,south america,Peru,Land-use conflicts between biodiversity conservation and extractive industries in the Peruvian Andes
23252,Baynard_etal,2017,Observational,Terrestrial,Sub-national,1,north america,United States,Energy Development in Colorado’s Pawnee National Grasslands: Mapping and Measuring the Disturbance Footprint of Renewables and Non-Renewables
23256,Beaudry_etal,2008,Observational,Terrestrial,Local,,north america,United States,Identifying road mortality threat at multiple spatial scales for semi-aquatic turtles
23258,Bebbington_etal,2018,Observational,Terrestrial,Multi-national,,asia,Brazil,Resource extraction and infrastructure threaten forest cover and community rights
23261,Becker and Zamudio,2011,Observational,Terrestrial,National,1,north america,Costa Rica,Tropical amphibian populations experience higher disease risk in natural habitats
23262,Bedrosian_etal,2020,Observational,Terrestrial,Sub-national,1,north america,United States,"A Spatially Explicit Model to Predict the Relative Risk of Golden Eagle Electrocutions in the Northwestern Plains, USA"
23266,Bejaoui_etal,2020,Observational,Freshwater,Local,,africa,Tunisia,Metal body burden and tissue oxidative status in the bivalve Venerupis decussata from Tunisian coastal lagoons
23276,Bellard_etal,2016,Observational,Terrestrial,Global,10,Unknown,Unknown,Global patterns in threats to vertebrates by biological invasions
23278,Belpaire_etal,2015,Observational,Freshwater,Sub-national,,europe,Belgium,Toxic textile dyes accumulate in wild European eel Anguilla anguilla
23280,Ben Rais_etal,2016,Observational,Marine,Sub-national,0.1,mediterranean,Tunisia,Cumulative human threats on fish biodiversity components in Tunisian waters
23282,Bendell and Wan,2011,Observational,Marine,Local,,north pacific,Canada,Application of aerial photography in combination with GIS for coastal management at small spatial scales: A case study of shellfish aquaculture
23285,Bennett_etal,2010,Observational,Freshwater,Sub-national,,north america,Canada,Propagule pressure and stream characteristics influence introgression: Cutthroat and rainbow trout in British Columbia
23290,Benslimane_etal,2019,Observational,Freshwater,Local,,africa,Algeria,Anthropogenic stressors are driving a steep decline of hemipteran diversity in dune ponds in north-eastern Algeria
23293,Berthon_etal,2018,Observational,Terrestrial,National,1,australasia,Australia,Assessment and prioritisation of plant species at risk from myrtle rust (Austropuccinia psidii) under current and future climates in Australia
23301,Bezeng_etal,2020,Observational,Terrestrial,National,1,africa,South Africa,Expected spatial patterns of alien woody plants in South Africa’s protected areas under current scenario of climate change
23303,Bhatt_etal,2016,Observational,Freshwater,National,,asia,India,Assessing Potential Conservation and Restoration Areas of Freshwater Fish Fauna in the Indian River Basins
23304,Bhola_etal,2012,Observational,Terrestrial,Local,25,africa,Kenya,The distribution of large herbivore hotspots in relation to environmental and anthropogenic correlates in the Mara region of Kenya
23306,Bi_etal,2020,Observational,Marine,Multi-national,,north atlantic,United States,Long-term climate ocean oscillations inform seabird bycatch from pelagic longline fishery
23313,Binothman,2016,Observational,Terrestrial,Sub-national,,asia,Saudi Arabia,Current Status of Falcon Populations in Saudi Arabia
23315,Birkmanis_etal,2020,Observational,Marine,National,81,indian ocean,Australia,Shark conservation hindered by lack of habitat protection
23318,Bisi_etal,2019,Observational,Terrestrial,Local,m,asia,Myanmar,Distribution of Wildlife and Illegal Human Activities in the Lampi Marine National Park (Myanmar)
23330,Böhm_etal,2013,Observational,Marine,Global,7770,Unknown,Unknown,The conservation status of the world's reptiles
23331,Böhm_etal,2016,Observational,Marine,Global,7770,Unknown,Unknown,Hot and bothered: Using trait-based approaches to assess climate change vulnerability in reptiles
23337,Bonesi_etal,2007,Observational,Freshwater,Local,25,europe,United Kingdom,Trapping for mink control and water vole survival: Identifying key criteria using a spatially explicit individual based model
23340,Borah_etal,2016,Observational,Terrestrial,Sub-national,100,asia,India,"Carnivores in corridors: estimating tiger occupancy in Kanha–Pench corridor, Madhya Pradesh, India"
23343,Borrelli_etal,2015,Observational,Terrestrial,Local,500,south america,Colombia,The implications of fire management in the andean paramo: A preliminary assessment using satellite remote sensing
23345,Bose_etal,2020,Observational,Terrestrial,Sub-national,100,europe,Germany,"Predicting strike susceptibility and collision patterns of the common buzzard at wind turbine structures in the federal state of Brandenburg, Germany"
23350,Bouchard_etal,2015,Observational,Terrestrial,Local,,africa,South Africa,Undeclared baggage: Do tourists act as vectors for seed dispersal in fynbos protected areas?
23353,Boulanger_etal,2014,Observational,Terrestrial,Sub-national,,north america,Canada,The impact of roads on the demography of grizzly bears in Alberta
23355,Bourgoin_etal,2020,Observational,Terrestrial,Sub-national,10,asia,Thailand,Assessing the ecological vulnerability of forest landscape to agricultural frontier expansion in the Central Highlands of Vietnam
23357,Bozkaya_etal,2015,Observational,Terrestrial,Local,30,asia,Turkey,Forecasting land-cover growth using remotely sensed data: a case study of the Igneada protection area in Turkey
23361,Bradley,2010,Observational,Terrestrial,Sub-national,30,north america,United States,"Assessing ecosystem threats from global and regional change: Hierarchical modeling of risk to sagebrush ecosystems from climate change, land use and invasive species in Nevada, USA"
23362,Bradley_etal,2020,Observational,Freshwater,Sub-national,,north america,United States,Exposure and potential effects of pesticides and pharmaceuticals in protected streams of the US National park Service southeast region
23364,Braunisch_etal,2011,Observational,Terrestrial,Local,25,europe,Switzerland,Spatially explicit modeling of conflict zones between wildlife and snow sports: Prioritizing areas for winter refuges
23365,Breen_etal,2017,Observational,Marine,Sub-national,48,north atlantic,United Kingdom,Where is the risk? Integrating a spatial distribution model and a risk assessment to identify areas of cetacean interaction with fisheries in the northeast Atlantic
23368,Bright_etal,2008,Observational,Terrestrial,National,1,europe,United Kingdom,Map of bird sensitivities to wind farms in Scotland: A tool to aid planning and conservation
23371,Briscoe_etal,2014,Observational,Terrestrial,Sub-national,1.44,asia,Malaysia,"Modeling habitat and bycatch risk for dugongs in Sabah, Malaysia"
23374,Brito_etal,2018,Observational,Terrestrial,Multi-national,,africa,Mauritania,Armed conflicts and wildlife decline: Challenges and recommendations for effective conservation policy in the Sahara-Sahel
23378,Bröker_etal,2015,Observational,Marine,Sub-national,1,north pacific,Russia,"Monitoring and impact mitigation during a 4D seismic survey near a population of gray whales off Sakhalin Island, Russia"
23384,Brown and Hamilton,2018,Observational,Marine,Local,,south pacific,Solomon Islands,Estimating the footprint of pollution on coral reefs with models of species turnover
23383,Brown_etal,2014,Observational,Marine,National,,indian ocean,Australia,Interactions between global and local stressors of ecosystems determine management effectiveness in cumulative impact mapping
23390,Bruschi_etal,2015,Observational,Terrestrial,National,250,europe,Italy,Characterizing the fragmentation level of Italian's National Parks due to transportation infrastructures
23391,Bryce_etal,2002,Observational,Terrestrial,Local,,europe,United Kingdom,Can niche use in red and grey squirrels offer clues for their apparent coexistence?
23398,Buckland_etal,2014,Observational,Terrestrial,National,30,africa,Mauritius,Ecological Effects of the Invasive Giant Madagascar Day Gecko on Endemic Mauritian Geckos: Applications of Binomial-Mixture and Species Distribution Models
23399,Buckley_etal,2016,Observational,Terrestrial,National,1,asia,China,How pristine are China's parks?
23402,Buma_etal,2017,Observational,Terrestrial,Sub-national,,north america,United States,Emerging climate-driven disturbance processes: widespread mortality associated with snow-to-rain transitions across 10 degrees of latitude and half the range of a climate-threatened conifer
23404,Bungnamei and Saikia,2020,Observational,Terrestrial,Local,60,asia,India,"PARK IN THE PERIPHERY: LAND USE AND LAND COVER CHANGE AND FOREST FRAGMENTATION IN AND AROUND YANGOUPOKPI LOKCHAO WILDLIFE SANCTUARY, MANIPUR, INDIA"
23405,Burdett_etal,2010,Observational,Terrestrial,Sub-national,100,north america,United States,Interfacing models of wildlife habitat and human development to predict the future distribution of puma habitat
23407,Burgess_etal,2016,Observational,Marine,Sub-national,90,north pacific,United States,Tracking diseases from terrestrial landscapes to kelp forests:Combining behavioural ecology and spatial epidemiology to understand pathogen movement in coastal ecosystems
23409,Burivalova_etal,2020,Observational,Terrestrial,Sub-national,30,asia,Indonesia,Does biodiversity benefit when the logging stops? An analysis of conservation risks and opportunities in active versus inactive logging concessions in Borneo
23412,Burton_etal,2012,Observational,Terrestrial,Local,500,africa,Ghana,"Hierarchical multi-species modeling of carnivore responses to hunting, habitat and prey in a West African protected area"
23418,Butsic_etal,2015,Observational,Terrestrial,National,,africa,DRC,"Conservation and conflict in the Democratic Republic of Congo: The impacts of warfare, mining, and protected areas on deforestation"
23424,Cadima_etal,2014,Observational,Terrestrial,National,5,south america,Bolivia,Endemic wild potato (Solanum spp.) biodiversity status in Bolivia: Reasons for conservation concerns
23428,Callan_etal,2020,Observational,Terrestrial,Local,2.5,asia,China,Free-roaming dogs limit habitat use of giant pandas in nature reserves
23429,Calle-Rendón_etal,2018,Observational,Terrestrial,National,0.1,south america,Colombia,Vulnerability of mammals to land-use changes in Colombia's post-conflict era
23430,Calvert_etal,2005,Observational,Terrestrial,Sub-national,,north america,Canada,Spatiotemporal heterogeneity of greater snow goose harvest and implications for hunting regulations
23438,Campana_etal,2018,Observational,Marine,Multi-national,25,mediterranean,Spain,Seasonal patterns of floating macro-litter across the Western Mediterranean Sea: a potential threat for cetacean species
23448,Cao_etal,2020,Observational,Terrestrial,Sub-national,0.25,asia,China,"Ozone pollution in the west China rain zone and its adjacent regions, Southwestern China: Concentrations, ecological risk, and Sources"
23449,Caorsi_etal,2014,Observational,Freshwater,Local,,south america,Brazil,"Natural history, coloration pattern and conservation status of the threatened South Brazilian red bellied toad, Melanophryniscus macrogranulosus Braun, 1973 (Anura, Bufonidae)"
23452,Carassou_etal,2013,Observational,Marine,National,,south pacific,New Caledonia,Does Herbivorous Fish Protection Really Improve Coral Reef Resilience? A Case Study from New Caledonia (South Pacific)
23454,Cardoso_etal,2018,Observational,Terrestrial,Sub-national,0.2,south america,Brazil,Anthropic Pressure on the Diversity of Cactaceae in a Region of Atlantic Forest in Eastern Brazil
23456,Carle_etal,2019,Observational,Marine,Sub-national,,south pacific,Chile,Overlap of Pink-footed Shearwaters and central Chilean purse-seine fisheries: Implications for bycatch risk
23461,Caro_etal,2020,Observational,Terrestrial,Sub-national,,africa,Tanzania,A case study of the coconut crab Birgus latro on Zanzibar highlights global threats and conservation solutions
23464,Carrasco_etal,2020,Observational,Terrestrial,National,25,africa,Madagascar,Selecting priority areas for the conservation of endemic trees species and their ecosystems in Madagascar considering both conservation value and vulnerability to human pressure
23466,Carrete_etal,2012,Experimental,Terrestrial,Sub-national,,europe,Spain,Mortality at wind-farms is positively related to large-scale distribution and aggregation in griffon vultures
W26579,Carroll,2018,Observational,Terrestrial,Multi-national,,asia,Myanmar,Pulse of the Forest: The state of the Greater Mekong's Forests and the everyday people working to protect them
23473,Carvajal-Quintero_etal,2017,Observational,Freshwater,Local,,south america,Colombia,Damming Fragments Species’ Ranges and Heightens Extinction Risk
23477,Carvalho_etal,2019,Observational,Terrestrial,Sub-national,100,south america,Brazil,Changes in secondary vegetation dynamics in a context of decreasing deforestation rates in Pará Brazilian Amazon
23487,Cavalcante,2012,Observational,Marine,Local,,north atlantic,Canada,"Study of Baleen Whales’ Ecology and Interaction with 
Maritime Traffic Activities to Support Management of a 
Complex Socio-Ecological System"
23489,Ceballos-Mago_etal,2010,Observational,Terrestrial,National,,south america,Venezuela,Impact of the pet trade on the Margarita capuchin monkey Cebus apella margaritae
23490,Ceia-Hasse_etal,2017,Observational,Terrestrial,Global,10000,Unknown,Unknown,Global exposure of carnivores to roads
W26584,Chanchani P._etal,2014,Observational,Terrestrial,Multi-national,15,asia,India,"Tigers of the Transboundary Terai Arc Landscape: Status, distribution and movement in the Terai of India and Nepal. "
W22911,Charity_etal,2016,Observational,Freshwater,Multi-national,,south america,Brazil,Living amazon report 2016: A regional approach to conservation in the Amazon
23509,Chaudhary and Brooks,2019,Observational,Terrestrial,Global,,Unknown,Unknown,National Consumption and Global Trade Impacts on Biodiversity
23507,Chaudhary and Kastner,2016,Observational,Terrestrial,Global,,Unknown,Unknown,Land use biodiversity impacts embodied in international food trade
23508,Chaudhary_etal,2017,Observational,Terrestrial,Global,,Unknown,Unknown,Linking national wood consumption with global biodiversity and ecosystem service losses
23513,Chaves_etal,2020,Observational,Freshwater,Local,,south america,Brazil,Pharmaceuticals and personal care products in a Brazilian wetland of international importance: Occurrence and environmental risk assessment
23515,Chee_etal,2017,Observational,Terrestrial,Local,,indian ocean,Malaysia,Land reclamation and artificial islands: Walking the tightrope between development and conservation
23517,Chen,2014,Observational,Terrestrial,Local,,asia,China,Spatial risk assessment of alien plants in China using biodiversity resistance theory
23518,Chen and Koprowski,2015,Observational,Terrestrial,Local,50,north america,United States,Animal occurrence and space use change in the landscape of anthropogenic noise
23523,Cheng,2017,Observational,Terrestrial,Sub-national,,north america,United States,"Long-Term Impacts of an Emerging Disease, White-Nose Syndrome: Drivers, Mechanisms, and Conservation Action Influencing the Persistence of North American Bats"
23527,Chettri_etal,2013,Observational,Terrestrial,Local,,asia,Nepal,"Linking Spatio-temporal land cover change to biodiversity conservation in the koshi tappu wildlife reserve, Nepal"
23528,Chevaldonné and Lejeusne,2003,Observational,Marine,Local,,mediterranean,France,Regional warming-induced species shift in north-west mediterranean marine caves
23530,Chirichella_etal,2013,Observational,Terrestrial,Local,,europe,Italy,Effects of livestock and non-native mouflon on use of high-elevation pastures by Alpine chamois
23531,Choe and Thorne,2019,Observational,Terrestrial,Multi-national,,asia,China,Climate exposure of East Asian temperate forests suggests transboundary climate adaptation strategies are needed
23534,Choquette Jonathan_etal,2020,Observational,Terrestrial,Local,0.3,north america,Canada,Identifying Potential Connectivity for an Urban Population of Rattlesnakes (Sistrurus catenatus) in a Canadian Park System
23537,Chowdhury and Maiti,2016,Observational,Freshwater,Local,,asia,India,"Assessing the ecological health risk in a conserved mangrove ecosystem due to heavy metal pollution: A case study from Sundarbans Biosphere Reserve, India"
23543,Chu_etal,2003,Observational,Freshwater,National,,north america,Canada,Comparative regional assessment of factors impacting freshwater fish biodiversity in Canada
23547,Chun_etal,2020,Observational,Terrestrial,National,1,asia,South Korea,Social big data informs spatially explicit management options for national parks with high tourism pressures
23552,Chytry_etal,2009,Observational,Terrestrial,Continental,250,europe,Unknown,European map of alien plant invasions based on the quantitative assessment across habitats
W26593,Cinner_etal,2018,Observational,Marine,Global,,Unknown,Unknown,Gravity of human impacts mediates coral reef conservation gains
23559,Clare_etal,2019,Observational,Terrestrial,Local,250,north america,United States,Satellite-detected forest disturbance forecasts American marten population decline: The case for supportive space-based monitoring
23560,Clark and Tittensor,2010,Observational,Marine,Global,1,Unknown,Unknown,An index to assess the risk to stony corals from bottom trawling on seamounts
23565,Clarke_etal,2015,Observational,Marine,Sub-national,,north pacific,Canada,Cumulative effects of planned industrial development and climate change on marine ecosystems
23566,Clarke_etal,2018,Observational,Marine,National,,north pacific,Costa Rica,"Assessing the vulnerability of demersal elasmobranchs to a data-poor shrimp trawl fishery in Costa Rica, Eastern Tropical Pacific"
23571,Clavero and García-Berthou,2006,Observational,Freshwater,Multi-national,,europe,France,Homogenization dynamics and introduction routes of invasive freshwater fish in the Iberian Peninsula
23572,Clavero_etal,2010,Observational,Freshwater,Multi-national,100,europe,Andorra,Geographical linkages between threats and imperilment in freshwater fish in the Mediterranean Basin
23573,Clay_etal,2019,Observational,Marine,Global,5,Unknown,Unknown,A comprehensive large-scale assessment of fisheries bycatch risk to threatened seabird populations
23576,Clements_etal,2014,Observational,Terrestrial,Local,1,asia,Malaysia,Where and how are roads endangering mammals in Southeast Asia's forests?
23581,Codato_etal,2019,Observational,Terrestrial,Multi-national,,south america,Brazil,"Oil production, biodiversity conservation and indigenous territories: Towards geographical criteria for unburnable carbon areas in the Amazon rainforest"
23582,Coll_etal,2012,Observational,Marine,Multi-national,0.1,mediterranean,Bosnia and Herzegovina,"The Mediterranean Sea under siege: Spatial overlap between marine biodiversity, cumulative threats and marine reserves"
23583,Coll_etal,2015,Observational,Marine,Multi-national,0.1,mediterranean,Bosnia and Herzegovina,'Low-hanging fruit' for conservation of marine vertebrate species at risk in the Mediterranean Sea
23588,Compa_etal,2019,Observational,Marine,Multi-national,0.2,mediterranean,Bosnia and Herzegovina,Risk assessment of plastic pollution on marine diversity in the Mediterranean Sea
23591,Comte and Olden,2017,Observational,Freshwater,Global,0.1,Unknown,Unknown,Climatic vulnerability of the world's freshwater and marine fishes
23594,Coppes and Braunisch,2013,Observational,Terrestrial,Local,10,europe,Germany,Managing visitors in nature areas: where do they leave the trails? A spatial model
23595,Coppes_etal,2017,Observational,Terrestrial,Local,10,europe,Germany,Outdoor recreation causes effective habitat reduction in capercaillie Tetrao urogallus: a major threat for geographically restricted populations
23598,Coristine and Kerr,2015,Observational,Terrestrial,Multi-national,5,north america,United States,Temperature-related geographical shifts among passerines: contrasting processes along poleward and equatorward range margins
23599,Coristine_etal,2016,Observational,Terrestrial,Multi-national,5,north america,Canada,"Dispersal Limitation, Climate Change, and Practical Tools for Butterfly Conservation in Intensively Used Landscapes"
23602,Correa_etal,2020,Observational,Terrestrial,National,300,south america,Colombia,Spatiotemporal evaluation of the human footprint in Colombia: Four decades of anthropic impact in highly biodiverse ecosystems
