ArticleID,Authors,Year,Study_design,Ecoregion,Spatial_Scale,Spatial_res,Continent_Ocean,country_eez,Title,Threat,Threat1,Threat_metric,Threat_data,Quantity_threats,threat_precision,threat_database,Threat_decoded,Threat1_decoded,Georef_ind_driver,Direct_driver,Indirect_driver
23072,Allan_etal,2019,Observational,Terrestrial,Global,30,Unknown,Unknown,Hotspots of human impact on threatened terrestrial vertebrates,1.1:DevResid; 1.2:DevComInd; 2.1:AgNTC; 2.3:AgLivestock; 4.1:RoadRail; 4.2:UtilityLine; 5.1:UseAnimals; 5.2:UsePlant; 6.1:ActivRnR; 6.3:Other; 8.1:SDAlienInv; 9.1:PollDWW; 9.3:PollAgrFor; 9.4:PollGarbSW; 9.6:PollEnergy,1; 2; 4; 5; 6; 8; 9,pcm,Quantitative,15,cumulative,HFI,"Agricultural & Forestry Effluents; Annual & Perennial Non-Timber Crops; Commercial & Industrial Areas; Domestic & Urban Waste Water; Excess Energy (Light, Heat, Sound); Garbage & Solid Waste; Gathering Terrestrial Plants; Housing & Urban Areas; Hunting & Collecting Animals; Invasive Non-Native/Alien Species; Livestock Farming & Ranching; Recreational Activities; Roads & Railroads; Utility & Service Lines; Work & Other Activities",Agriculture & Aquaculture; Biological Resource Use; Human Intrusions & Disturbance; Invasive & Problematic Species; Pollution; Residential & Commercial Development; Transportation & Service Corridors,1,invasive_and_alien_species,demographic
23073,Almeida_etal,2014,Observational,Freshwater,Sub-national,10,europe,United Kingdom,Time-series analysis of native and non-native crayfish dynamics in the Thames River Basin (south-eastern England),8.1:SDAlienInv,8,survey,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1,direct_exploitation;invasive_and_alien_species;pollution,demographic;economic
23074,Almodóvar_etal,2012,Observational,Freshwater,Local,,europe,Spain,Global warming threatens the persistence of Mediterranean brown trout,11.3:CC_Temp,11,survey,Qualitative,1,level2,,Temperature Extremes,Climate Change & Severe Weather,1,direct_exploitation;land/sea_use_change;pollution,demographic;economic;governance_and_institutions
23052,Al-Nasrawi_etal,2018,Observational,Terrestrial,Local,0.8,australasia,Australia,Geoinformatics vulnerability predictions of coastal ecosystems to sea-level rise in Southeastern Australia,11.1:CC_Habitat,11,rs,Qualitative,1,level2,,Habitat Shifting & Alteration,Climate Change & Severe Weather,0,climate_change;direct_exploitation;invasive_and_alien_species;land/sea_use_change,demographic;economic;society_and_culture
23080,Álvarez,2003,Observational,Terrestrial,National,,south america,Colombia,Forests in the time of violence: Conservation implications of the colombian war,6.2:WarConflict,6,literature,Qualitative,1,level2,,"War, Civil Unrest & Military Exercises",Human Intrusions & Disturbance,0,climate_change;direct_exploitation;land/sea_use_change;pollution,demographic;economic;technology
23082,Alvarez-Berastegui_etal,2014,Observational,Marine,Sub-national,300,mediterranean,Spain,Multidisciplinary rapid assessment of coastal areas as a tool for the design and management of marine protected areas,1.1:DevResid; 2.4:Aqua; 5.4:UseAquatic; 6.1:ActivRnR,1; 2; 5; 6,expert; literature; survey,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources; Housing & Urban Areas; Marine & Freshwater Aquaculture; Recreational Activities,Agriculture & Aquaculture; Biological Resource Use; Human Intrusions & Disturbance; Residential & Commercial Development,1,invasive_and_alien_species;land/sea_use_change;pollution,demographic;governance_and_institutions
23083,Alvarez-Berrios and Mitchell,2015,Observational,Terrestrial,Multi-national,250,south america,Brazil,Global demand for gold is another threat for tropical forests,3.2:MinQuar,3,database; literature; rs,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining,1;0,direct_exploitation;invasive_and_alien_species;land/sea_use_change;pollution,demographic;governance_and_institutions;society_and_culture
23085,Alvarez-Filip_etal,2019,Observational,Marine,Sub-national,,north atlantic,Mexico,A rapid spread of the stony coral tissue loss disease outbreak in the Mexican Caribbean,8.6:DUnknownC,8,survey,Quantitative,1,level2,,Disease (Unknown Cause),Invasive & Problematic Species,1;0,climate_change;climate_change,demographic;governance_and_institutions;technology
23086,Alvarez-Romero_etal,2013,Observational,Marine,Sub-national,500,south pacific,Australia,A novel approach to model exposure of coastal-marine ecosystems to riverine flood plumes based on remote sensing techniques,9.7:PollUnspec,9,modelled; rs,Quantitative,1,level1,,Pollution (Unspecified),Pollution,1,climate_change;direct_exploitation;invasive_and_alien_species;pollution,demographic;society_and_culture
23087,Alves_etal,2014,Observational,Terrestrial,Multi-national,0.16,north america,Canada,The Potential Impact of White-Nose Syndrome on the Conservation Status of North American Bats,8.1:SDAlienInv,8,literature,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,0,pollution;pollution,demographic;society_and_culture;technology
25335,Amano_etal,2020,Observational,Terrestrial,Global,1,Unknown,Unknown,Responses of global waterbird populations to climate change vary with latitude,11.3:CC_Temp; 11.5:CC_other,11,database,Quantitative,2,level2,CRU TS v4.01,Climate Change (Other); Temperature Extremes,Climate Change & Severe Weather,0,climate_change;invasive_and_alien_species;land/sea_use_change;pollution,demographic;technology
23091,Ambastha_etal,2010,Observational,Terrestrial,Local,250,asia,India,"Spatial analysis of anthropogenic disturbances in mangrove forests of Bhitarkanika Conservation Area, India",1.1:DevResid; 2.4:Aqua; 2.5:AgUnspec,1; 2,rs,Qualitative,3,level2,,Agriculture (Unspecified); Housing & Urban Areas; Marine & Freshwater Aquaculture,Agriculture & Aquaculture; Residential & Commercial Development,0,pollution,economic
23100,Andersen_etal,2020,Observational,Marine,National,2,north atlantic,Denmark,Relative impacts of multiple human stressors in estuaries and coastal waters in the North Sea–Baltic Sea transition zone,1.2:DevComInd; 11.3:CC_Temp; 2.4:Aqua; 3.1:OilGas; 3.3:Renew; 4.2:UtilityLine; 4.3:ShipLane; 5.4:UseAquatic; 6.1:ActivRnR; 6.2:WarConflict; 7.2:WaterSystem; 8.1:SDAlienInv; 9.2:PollIndMil; 9.4:PollGarbSW; 9.6:PollEnergy; 9.7:PollUnspec,1; 11; 2; 3; 4; 5; 6; 7; 8; 9,modelled,Quantitative,16,cumulative,,"Commercial & Industrial Areas; Dams & Water Management/Use; Excess Energy (Light, Heat, Sound); Fishing & Harvesting Aquatic Resources; Garbage & Solid Waste; Industrial & Military Effluents; Invasive Non-Native/Alien Species; Marine & Freshwater Aquaculture; Oil & Gas Drilling; Pollution (Unspecified); Recreational Activities; Renewable Energy; Shipping Lanes; Temperature Extremes; Utility & Service Lines; War, Civil Unrest & Military Exercises",Agriculture & Aquaculture; Biological Resource Use; Climate Change & Severe Weather; Energy Production & Mining; Human Intrusions & Disturbance; Invasive & Problematic Species; Natural System Modifications; Pollution; Residential & Commercial Development; Transportation & Service Corridors,1,climate_change;direct_exploitation;invasive_and_alien_species;land/sea_use_change;pollution,economic;governance_and_institutions
W26591,Anderson_etal,2017,Observational,Marine,Local,,north atlantic,Belize,"The role of conservation volunteers in the detection, monitoring and management of invasive alien lionfish",8.1:SDAlienInv,8,survey,Quantitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1;0,invasive_and_alien_species;invasive_and_alien_species,economic;governance_and_institutions;society_and_culture
23105,Andrade-Díaz_etal,2019,Observational,Terrestrial,Sub-national,,south america,Argentina,Expansion of the agricultural frontier in the largest South American Dry Forest: Identifying priority conservation areas for snakes before everything is lost,2.1:AgNTC; 2.2:AgWood,2,database,Qualitative,2,cumulative,geoportal.idesa.gob.ar,Annual & Perennial Non-Timber Crops; Wood & Pulp Plantations,Agriculture & Aquaculture,1,land/sea_use_change;pollution;pollution,economic;governance_and_institutions;technology
23106,Andréfouët_etal,2015,Observational,Marine,Multi-national,30,south pacific,Cook Islands,Mass mortality events in atoll lagoons: Environmental control and increased future vulnerability,11.3:CC_Temp,11,database; rs,Quantitative,1,level2,AVHRR Pathfinder V4.1,Temperature Extremes,Climate Change & Severe Weather,1,direct_exploitation;direct_exploitation,economic;society_and_culture
23114,Anjos_etal,2018,Observational,Terrestrial,Continental,6,south america,Unknown,Measuring resilience and assessing vulnerability of terrestrial ecosystems to climate change in South America,11.1:CC_Habitat,11,modelled,Quantitative,1,level2,,Habitat Shifting & Alteration,Climate Change & Severe Weather,0,land/sea_use_change;land/sea_use_change,economic;technology
23117,Ansari and Golabi,2019,Observational,Terrestrial,Local,,asia,Iran,"Using Ecosystem Service Modeler (ESM) for Ecological Quality, rarity and Risk Assessment of the wild goat habitat, in the Haftad-Gholleh protected area",1.1:DevResid; 2.1:AgNTC; 2.3:AgLivestock,1; 2,rs; survey,Qualitative,3,level1,,Annual & Perennial Non-Timber Crops; Housing & Urban Areas; Livestock Farming & Ranching,Agriculture & Aquaculture; Residential & Commercial Development,0,climate_change;invasive_and_alien_species,governance_and_institutions
23128,Araújo and Wang,2015,Observational,Freshwater,Sub-national,,south america,Brazil,The dammed river dolphins of Brazil: Impacts and conservation,7.2:WaterSystem,7,literature; rs,Qualitative,1,level2,,Dams & Water Management/Use,Natural System Modifications,0,climate_change;direct_exploitation;direct_exploitation,governance_and_institutions;society_and_culture
23125,Araújo_etal,2008,Observational,Terrestrial,Continental,50,europe,Unknown,Exposure of European biodiversity to changes in human-induced pressures,1.1:DevResid; 1.2:DevComInd; 2.1:AgNTC; 2.3:AgLivestock,1; 2,database,Quantitative,3,level2,Eurostat2000,Annual & Perennial Non-Timber Crops; Commercial & Industrial Areas; Housing & Urban Areas; Livestock Farming & Ranching,Agriculture & Aquaculture; Residential & Commercial Development,1;0,climate_change;climate_change;direct_exploitation;invasive_and_alien_species,governance_and_institutions;technology
23135,Arkema_etal,2014,Observational,Marine,National,500,north atlantic,Belize,Assessing habitat risk from human activities to inform coastal and marine spatial planning: A demonstration in Belize,1.1:DevResid; 1.2:DevComInd; 1.3:DevRnR; 2.4:Aqua; 3.1:OilGas; 3.2:MinQuar; 4.3:ShipLane; 5.4:UseAquatic; 6.1:ActivRnR; 9.3:PollAgrFor,1; 2; 3; 4; 5; 6; 9,expert; modelled,Quantitative,10,level2,,Agricultural & Forestry Effluents; Commercial & Industrial Areas; Fishing & Harvesting Aquatic Resources; Housing & Urban Areas; Marine & Freshwater Aquaculture; Mining & Quarrying; Oil & Gas Drilling; Recreational Activities; Shipping Lanes; Tourism & Recreation Areas,Agriculture & Aquaculture; Biological Resource Use; Energy Production & Mining; Human Intrusions & Disturbance; Pollution; Residential & Commercial Development; Transportation & Service Corridors,1;0,climate_change;pollution,society_and_culture
23138,Armenteras_etal,2013,Observational,Terrestrial,Local,,south america,Colombia,"Landscape Dynamics in Northwestern Amazonia: An Assessment of Pastures, Fire and Illicit Crops as Drivers of Tropical Deforestation",2.1:AgNTC; 2.3:AgLivestock; 7.1:FireSystem,2; 7,rs,Qualitative,3,level2,,Annual & Perennial Non-Timber Crops; Fire & Fire Suppression; Livestock Farming & Ranching,Agriculture & Aquaculture; Natural System Modifications,1;0,direct_exploitation,society_and_culture;technology
23142,Arroyave_etal,2020,Observational,Terrestrial,National,,south america,Colombia,Multiplex networks reveal geographic constraints on illicit wildlife trafficking,5.1:UseAnimals; 6.3:Other,5; 6,literature,Qualitative;Quantitative,2,level2,,Hunting & Collecting Animals; Work & Other Activities,Biological Resource Use; Human Intrusions & Disturbance,1;0,direct_exploitation;land/sea_use_change,technology
23146,Asharfi_etal,2020,Observational,Terrestrial,Local,20,asia,Iran,QUANTITATIVE ASSESSMENT OF FOREST ECOSYSTEM STRESS CAUSED BY CEMENT PLANT POLLUTION USING IN SITU MEASUREMENTS AND SENTINEL-2 SATELLITE DATA IN A PART OF THE UNESCO WORLD HERITAGE SITE,1.2:DevComInd; 9.2:PollIndMil,1; 9,rs; survey,Quantitative,2,level2,,Commercial & Industrial Areas; Industrial & Military Effluents,Pollution; Residential & Commercial Development,1,direct_exploitation,conflits_and_epidemics
23147,Ashcroft_etal,2009,Observational,Terrestrial,Local,ha,australasia,Australia,Climate change at the landscape scale: predicting fine-grained spatial heterogeneity in warming and potential refugia for vegetation,11.1:CC_Habitat,11,survey,Quantitative,1,level2,,Habitat Shifting & Alteration,Climate Change & Severe Weather,1;na,land/sea_use_change,conflits_and_epidemics;demographic
23151,Asner_etal,2009,Observational,Terrestrial,Global,500,Unknown,Unknown,A contemporary assessment of change in humid tropical forests,2.3:AgLivestock; 5.3:UseWood,2; 5,literature; rs,Qualitative,2,level2,,Livestock Farming & Ranching; Logging & Wood Harvesting,Agriculture & Aquaculture; Biological Resource Use,1,climate_change;land/sea_use_change,conflits_and_epidemics;demographic;governance_and_institutions
23150,Asner_etal,2008,Observational,Terrestrial,Local,3,north america,United States,Invasive species detection in Hawaiian rainforests using airborne imaging spectroscopy and LiDAR,8.1:SDAlienInv,8,rs,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1,climate_change;direct_exploitation,conflits_and_epidemics;demographic;economic
23154,Assuncao_etal,2019,Observational,Terrestrial,Sub-national,0.5,south america,Brazil,"The invasion of Artocarpus heterophyllus, jackfruit, in protected areas under climate change and across scales: from Atlantic Forest to a natural heritage private reserve",8.1:SDAlienInv,8,pcm,Quantitative,1,level2,Oliveria2018,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1,direct_exploitation;invasive_and_alien_species,conflits_and_epidemics;demographic;society_and_culture
23155,Astiaso_etal,2013,Observational,Terrestrial,National,,europe,Italy,An estimation of urban fragmentation of natural habitats: Case studies of the 24 italian national parks,1.1:DevResid; 1.2:DevComInd,1,modelled,Quantitative,2,level1,,Commercial & Industrial Areas; Housing & Urban Areas,Residential & Commercial Development,1,direct_exploitation;pollution,conflits_and_epidemics;demographic;technology
23160,Atkore_etal,2020,Observational,Freshwater,Sub-national,,asia,India,Multiscale Investigation of Water Chemistry Effects on Fish Guild Species Richness in Regulated and Nonregulated Rivers of India's Western Ghats: Implications for Restoration,3.2:MinQuar; 5.4:UseAquatic; 9.1:PollDWW; 9.3:PollAgrFor,3; 5; 9,database; survey,Quantitative,4,level2,APHRODITE,Agricultural & Forestry Effluents; Domestic & Urban Waste Water; Fishing & Harvesting Aquatic Resources; Mining & Quarrying,Biological Resource Use; Energy Production & Mining; Pollution,0,invasive_and_alien_species;pollution,conflits_and_epidemics;economic
23163,Aubrecht_etal,2008,Observational,Marine,Global,km,Unknown,Unknown,A global inventory of coral reef stressors based on satellite observed nighttime lights,1.1:DevResid; 3.1:OilGas; 5.4:UseAquatic,1; 3; 5,rs,Quantitative,3,cumulative,DMSP Operational Linescan System (DMSP OLS),Fishing & Harvesting Aquatic Resources; Housing & Urban Areas; Oil & Gas Drilling,Biological Resource Use; Energy Production & Mining; Residential & Commercial Development,1,climate_change;direct_exploitation;invasive_and_alien_species,conflits_and_epidemics;economic;governance_and_institutions
23164,Auerbach_etal,2014,Observational,Terrestrial,Sub-national,25,australasia,Australia,Informed actions: Where to cost effectively manage multiple threats to species to maximize return on investment,2.3:AgLivestock; 8.1:SDAlienInv,2; 8,modelled,Quantitative,2,level2,,Invasive Non-Native/Alien Species; Livestock Farming & Ranching,Agriculture & Aquaculture; Invasive & Problematic Species,1,climate_change;direct_exploitation;pollution,conflits_and_epidemics;economic;society_and_culture
23169,Avila_etal,2018,S_Review,Marine,Global,0.5,Unknown,Unknown,Current global risks to marine mammals: Taking stock of the threats,11.1:CC_Habitat; 11.3:CC_Temp; 11.4:CC_WetWeather; 2.4:Aqua; 4.3:ShipLane; 4.4:FlightPath; 5.4:UseAquatic; 6.1:ActivRnR; 6.3:Other; 8.1:SDAlienInv; 9.1:PollDWW; 9.4:PollGarbSW; 9.6:PollEnergy,11; 2; 4; 5; 6; 8; 9,literature,Qualitative,13,cumulative,,"Domestic & Urban Waste Water; Excess Energy (Light, Heat, Sound); Fishing & Harvesting Aquatic Resources; Flight Paths; Garbage & Solid Waste; Habitat Shifting & Alteration; Invasive Non-Native/Alien Species; Marine & Freshwater Aquaculture; Recreational Activities; Shipping Lanes; Storms & Flooding; Temperature Extremes; Work & Other Activities",Agriculture & Aquaculture; Biological Resource Use; Climate Change & Severe Weather; Human Intrusions & Disturbance; Invasive & Problematic Species; Pollution; Transportation & Service Corridors,0,climate_change;invasive_and_alien_species;pollution,conflits_and_epidemics;economic;technology
23170,Awkerman_etal,2016,Observational,Marine,Local,90,north atlantic,United States,Spatially explicit assessment of estuarine fish after Deepwater Horizon oil spill: Trade-off in complexity and parsimony,3.1:OilGas,3,modelled,Quantitative,1,level2,,Oil & Gas Drilling,Energy Production & Mining,0,direct_exploitation;invasive_and_alien_species;land/sea_use_change,conflits_and_epidemics;governance_and_institutions
23171,Ayele_etal,2016,Observational,Terrestrial,Local,30,africa,Ethiopia,"Multitemporal land use/land cover change detection for the batena watershed, rift valley lakes basin, Ethiopia",2.1:AgNTC; 2.3:AgLivestock,2,rs,Qualitative,2,level2,,Annual & Perennial Non-Timber Crops; Livestock Farming & Ranching,Agriculture & Aquaculture,1;0,direct_exploitation;land/sea_use_change;pollution,conflits_and_epidemics;governance_and_institutions;society_and_culture
23177,Bacigalupe_etal,2019,Observational,Terrestrial,National,1,south america,Chile,The amphibian-killing fungus in a biodiversity hotspot: identifying and validating high-risk areas and refugia,8.1:SDAlienInv,8,literature; survey,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1;0,climate_change;direct_exploitation;invasive_and_alien_species;land/sea_use_change,conflits_and_epidemics;governance_and_institutions;technology
23185,Bahaa-El-Din_etal,2016,Observational,Terrestrial,Local,,africa,Gabon,Effects of human land-use on Africa's only forest-dependent felid: The African golden cat Caracal aurata,1.1:DevResid; 2.2:AgWood; 5.1:UseAnimals; 5.3:UseWood,1; 2; 5,survey,Qualitative,4,cumulative,,Housing & Urban Areas; Hunting & Collecting Animals; Logging & Wood Harvesting; Wood & Pulp Plantations,Agriculture & Aquaculture; Biological Resource Use; Residential & Commercial Development,0,climate_change;direct_exploitation;land/sea_use_change;pollution,conflits_and_epidemics;society_and_culture
23188,Baig and Aldosari,2012,Observational,Terrestrial,Local,,asia,Pakistan,An investigation into the vanishing biodiversity: Implications for rural extension,1.4:DevUnspec,1,rs,Qualitative,1,level1,,Development (Unspecified),Residential & Commercial Development,1;0,direct_exploitation;invasive_and_alien_species;land/sea_use_change;pollution,conflits_and_epidemics;society_and_culture;technology
23190,Bailey_etal,2017,Observational,Terrestrial,Sub-national,25,north america,United States,Impact of land use and climate on the distribution of the endangered Florida bonneted bat,1.1:DevResid; 2.1:AgNTC; 2.3:AgLivestock,1; 2,rs,Qualitative,2,level1,,Annual & Perennial Non-Timber Crops; Housing & Urban Areas; Livestock Farming & Ranching,Agriculture & Aquaculture; Residential & Commercial Development,1,climate_change;climate_change,conflits_and_epidemics;technology
23196,Balasingham_etal,2018,Observational,Freshwater,Local,,north america,Canada,Environmental DNA detection of rare and invasive fish species in two Great Lakes tributaries,8.1:SDAlienInv,8,survey,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1;na,pollution;pollution,demographic
23197,Baláž_etal,2014,Observational,Freshwater,Continental,,europe,Unknown,Assessing Risk and Guidance on Monitoring of Batrachochytrium dendrobatidis in Europe through Identification of Taxonomic Selectivity of Infection,8.1:SDAlienInv,8,survey,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1,invasive_and_alien_species;invasive_and_alien_species,demographic;economic
23200,Balotari-Chiebao_etal,2018,Observational,Terrestrial,National,25,europe,Finland,Assessing space use by pre-breeding white-tailed eagles in the context of wind-energy development in Finland,3.3:Renew,3,database,Qualitative,1,level2,FinnishWindAtlas,Renewable Energy,Energy Production & Mining,1,land/sea_use_change;pollution;pollution,demographic;economic;governance_and_institutions
23202,Balzotti_etal,2016,Observational,Terrestrial,Sub-national,,north america,United States,Beyond the single species climate envelope: A multifaceted approach to mapping climate change vulnerability,11.1:CC_Habitat; 3.1:OilGas; 8.1:SDAlienInv,11; 3; 8,literature; modelled,Quantitative,3,cumulative,,Habitat Shifting & Alteration; Invasive Non-Native/Alien Species; Oil & Gas Drilling,Climate Change & Severe Weather; Energy Production & Mining; Invasive & Problematic Species,1,climate_change,demographic;economic;society_and_culture
23207,Bangs_etal,2018,Observational,Freshwater,Local,,north america,United States,Introgressive hybridization and species turnover in reservoirs: a case study involving endemic and invasive basses (Centrarchidae: Micropterus) in southeastern North America,8.1:SDAlienInv,8,survey,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species,1,invasive_and_alien_species,demographic;economic;technology
23211,Barbarossa_etal,2020,Observational,Freshwater,Global,,Unknown,Unknown,Impacts of current and future large dams on the geographic range connectivity of freshwater fish worldwide,7.2:WaterSystem,7,database,Quantitative,1,level2,GRanD;GOODD,Dams & Water Management/Use,Natural System Modifications,0,pollution,demographic;governance_and_institutions
