ArticleID,Threat,Threat1,Threat_metric,Threat_data,Quantity_threats,threat_precision,threat_database,Threat_decoded,Threat1_decoded
23082,2.4:Aqua,2,expert,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,expert,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,expert,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,literature,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,literature,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,literature,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,literature,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,survey,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,survey,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,survey,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,survey,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,expert,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,expert,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,expert,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,expert,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,literature,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,literature,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,literature,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,literature,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,survey,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,survey,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,survey,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,survey,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,expert,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,expert,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,expert,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,expert,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,literature,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,literature,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,literature,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,literature,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,survey,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,survey,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,survey,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,survey,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,expert,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,expert,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,expert,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,expert,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,literature,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,literature,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,literature,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,literature,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23082,1.1:DevResid,1,survey,Quantitative,4,cumulative,,Housing & Urban Areas,Residential & Commercial Development
23082,2.4:Aqua,2,survey,Quantitative,4,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23082,5.4:UseAquatic,5,survey,Quantitative,4,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23082,6.1:ActivRnR,6,survey,Quantitative,4,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23083,3.2:MinQuar,3,database,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,literature,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,rs,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,database,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,literature,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,rs,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,database,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,literature,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,rs,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,database,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,literature,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,rs,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,database,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,literature,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,rs,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,database,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,literature,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,rs,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,database,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,literature,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,rs,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,database,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,literature,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,rs,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,database,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,literature,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23083,3.2:MinQuar,3,rs,Qualitative,1,level2,private mining GIS databases,Mining & Quarrying,Energy Production & Mining
23085,8.6:DUnknownC,8,survey,Quantitative,1,level2,,Disease (Unknown Cause),Invasive & Problematic Species
23086,9.7:PollUnspec,9,modelled,Quantitative,1,level1,,Pollution (Unspecified),Pollution
23086,9.7:PollUnspec,9,rs,Quantitative,1,level1,,Pollution (Unspecified),Pollution
23086,9.7:PollUnspec,9,modelled,Quantitative,1,level1,,Pollution (Unspecified),Pollution
23086,9.7:PollUnspec,9,rs,Quantitative,1,level1,,Pollution (Unspecified),Pollution
23087,8.1:SDAlienInv,8,literature,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species
23087,8.1:SDAlienInv,8,literature,Qualitative,1,level2,,Invasive Non-Native/Alien Species,Invasive & Problematic Species
25335,11.3:CC_Temp,11,database,Quantitative,2,level2,CRU TS v4.01,Temperature Extremes,Climate Change & Severe Weather
25335,11.5:CC_other,11,database,Quantitative,2,level2,CRU TS v4.01,Climate Change (Other),Climate Change & Severe Weather
25335,11.3:CC_Temp,11,database,Quantitative,2,level2,CRU TS v4.01,Temperature Extremes,Climate Change & Severe Weather
25335,11.5:CC_other,11,database,Quantitative,2,level2,CRU TS v4.01,Climate Change (Other),Climate Change & Severe Weather
23091,1.1:DevResid,1,rs,Qualitative,3,level2,,Housing & Urban Areas,Residential & Commercial Development
23091,2.4:Aqua,2,rs,Qualitative,3,level2,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23091,2.5:AgUnspec,2,rs,Qualitative,3,level2,,Agriculture (Unspecified),Agriculture & Aquaculture
23091,1.1:DevResid,1,rs,Qualitative,3,level2,,Housing & Urban Areas,Residential & Commercial Development
23091,2.4:Aqua,2,rs,Qualitative,3,level2,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23091,2.5:AgUnspec,2,rs,Qualitative,3,level2,,Agriculture (Unspecified),Agriculture & Aquaculture
23100,7.2:WaterSystem,7,modelled,Quantitative,16,cumulative,,Dams & Water Management/Use,Natural System Modifications
23100,11.3:CC_Temp,11,modelled,Quantitative,16,cumulative,,Temperature Extremes,Climate Change & Severe Weather
23100,9.7:PollUnspec,9,modelled,Quantitative,16,cumulative,,Pollution (Unspecified),Pollution
23100,9.4:PollGarbSW,9,modelled,Quantitative,16,cumulative,,Garbage & Solid Waste,Pollution
23100,9.6:PollEnergy,9,modelled,Quantitative,16,cumulative,,"Excess Energy (Light, Heat, Sound)",Pollution
23100,1.2:DevComInd,1,modelled,Quantitative,16,cumulative,,Commercial & Industrial Areas,Residential & Commercial Development
23100,2.4:Aqua,2,modelled,Quantitative,16,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23100,6.2:WarConflict,6,modelled,Quantitative,16,cumulative,,"War, Civil Unrest & Military Exercises",Human Intrusions & Disturbance
23100,8.1:SDAlienInv,8,modelled,Quantitative,16,cumulative,,Invasive Non-Native/Alien Species,Invasive & Problematic Species
23100,3.1:OilGas,3,modelled,Quantitative,16,cumulative,,Oil & Gas Drilling,Energy Production & Mining
23100,3.3:Renew,3,modelled,Quantitative,16,cumulative,,Renewable Energy,Energy Production & Mining
23100,4.2:UtilityLine,4,modelled,Quantitative,16,cumulative,,Utility & Service Lines,Transportation & Service Corridors
23100,9.2:PollIndMil,9,modelled,Quantitative,16,cumulative,,Industrial & Military Effluents,Pollution
23100,4.3:ShipLane,4,modelled,Quantitative,16,cumulative,,Shipping Lanes,Transportation & Service Corridors
23100,6.1:ActivRnR,6,modelled,Quantitative,16,cumulative,,Recreational Activities,Human Intrusions & Disturbance
23100,5.4:UseAquatic,5,modelled,Quantitative,16,cumulative,,Fishing & Harvesting Aquatic Resources,Biological Resource Use
23100,7.2:WaterSystem,7,modelled,Quantitative,16,cumulative,,Dams & Water Management/Use,Natural System Modifications
23100,11.3:CC_Temp,11,modelled,Quantitative,16,cumulative,,Temperature Extremes,Climate Change & Severe Weather
23100,9.7:PollUnspec,9,modelled,Quantitative,16,cumulative,,Pollution (Unspecified),Pollution
23100,9.4:PollGarbSW,9,modelled,Quantitative,16,cumulative,,Garbage & Solid Waste,Pollution
23100,9.6:PollEnergy,9,modelled,Quantitative,16,cumulative,,"Excess Energy (Light, Heat, Sound)",Pollution
23100,1.2:DevComInd,1,modelled,Quantitative,16,cumulative,,Commercial & Industrial Areas,Residential & Commercial Development
23100,2.4:Aqua,2,modelled,Quantitative,16,cumulative,,Marine & Freshwater Aquaculture,Agriculture & Aquaculture
23100,6.2:WarConflict,6,modelled,Quantitative,16,cumulative,,"War, Civil Unrest & Military Exercises",Human Intrusions & Disturbance
23100,8.1:SDAlienInv,8,modelled,Quantitative,16,cumulative,,Invasive Non-Native/Alien Species,Invasive & Problematic Species
23100,3.1:OilGas,3,modelled,Quantitative,16,cumulative,,Oil & Gas Drilling,Energy Production & Mining
